country,iso3,reporter_code,year,flow,variant,total_trade_value,product_gini,product_top_1pct_share,product_top_2pct_share,product_top_5pct_share,product_top_10pct_share,product_top_200_share,product_active_count,partner_gini,partner_top_1pct_share,partner_top_2pct_share,partner_top_5pct_share,partner_top_10pct_share,partner_top_200_share,partner_active_count,top_5_partner_share,product_partner_cell_gini,product_partner_cell_top_1pct_share,product_partner_cell_top_2pct_share,product_partner_cell_top_5pct_share,product_partner_cell_top_10pct_share,product_partner_cell_top_200_share,product_partner_cell_active_count,baseline_total_trade_value,trade_share_removed
Australia,AUS,36,1988,Exports,baseline,32205394052.0,0.9549242802028248,0.7326296122911354,0.814523195823805,0.8956547747382302,0.9400432991478926,0.8876215677362518,4455,0.8953360200147822,0.3464108701165598,0.48017929173698903,0.6703746080591506,0.8411586197100943,1.0,177,0.5271798440219874,0.9672215584296371,0.7928934951632494,0.8577239438026547,0.9221324900434105,0.9580147641163226,0.7064327507455893,43142,32205394052.0,0.0
Australia,AUS,36,1988,Exports,oil_only,27155454407.0,0.9490998259416985,0.7119830099405783,0.7933812088390733,0.8802404195761981,0.9305759725193907,0.8722081325177362,4414,0.8972466122726706,0.3334046324286942,0.4756538909056305,0.6684519106894723,0.8546819648879537,1.0,175,0.5282827236837554,0.9633977621821521,0.7764414056928802,0.8428372568900979,0.9117270055189322,0.9517543529795517,0.695212908281642,42794,32205394052.0,0.1568041563735002
Australia,AUS,36,1988,Exports,oil_aircraft,26944660395.0,0.9494628800489808,0.7126774008093785,0.7947123957432977,0.8810403528190395,0.9309098326084135,0.8735335369217594,4400,0.8970401507428505,0.3359724608249233,0.47415640901418754,0.6672190257159855,0.8541502522062127,1.0,175,0.5268050177627781,0.9635461059204413,0.7780575998237591,0.8438924485468543,0.9121849148843206,0.951902679046551,0.6978423988037797,42625,32205394052.0,0.1633494578115029
Australia,AUS,36,1988,Exports,oil_aircraft_precious,24616219861.0,0.9465193555828417,0.6983954779847179,0.7854860314127253,0.8741801684219204,0.9264007193131074,0.8670954772717449,4353,0.8942908838187935,0.3395273738695179,0.4842131909491235,0.6612035967710437,0.8446626786081743,1.0,175,0.5262089008037398,0.9612465832238386,0.7653038914332599,0.8345738458628402,0.9065308762680782,0.9486205254851579,0.6828419496135081,42216,32205394052.0,0.23564916419734672
Australia,AUS,36,1988,Exports,full_exclusion,24488537333.0,0.9470030274970567,0.702036891882178,0.7880397181988771,0.8754324620323782,0.9269454760538434,0.8692541912788974,4320,0.8953222260911233,0.34081577623474796,0.48571111537852174,0.6633222260731092,0.8461028470687225,1.0,175,0.5279226507978716,0.9615343279487332,0.7676077463666621,0.8363475014246985,0.9074265663492659,0.9489863744407245,0.6861956322052581,41894,32205394052.0,0.23961379595418342
Australia,AUS,36,1989,Exports,baseline,35761442364.0,0.9556036843980706,0.7329451677090638,0.8145962689224601,0.8964025339556911,0.9409948582184653,0.8881684678908272,4471,0.8994779314834616,0.36974742873656874,0.49342774145942725,0.6807043852209205,0.8444431362030284,1.0,179,0.5417091211203922,0.9685780844963423,0.7979036430232057,0.8617407799810297,0.925943219821971,0.9604426682066922,0.7070077045732439,43731,35761442364.0,0.0
Australia,AUS,36,1989,Exports,oil_only,30109207805.0,0.9499737075524819,0.7113279615561111,0.7950940042342971,0.8815251469881706,0.9317251435735674,0.8730303394975024,4430,0.9001251735737077,0.348750369920269,0.48323470571629673,0.6709190230054942,0.8500177314445952,1.0,179,0.5279480252004591,0.9649125348308982,0.7817133410295648,0.8471798327010152,0.9160614619166331,0.954511505089398,0.6960750311245195,43363,35761442364.0,0.1580538754972014
Australia,AUS,36,1989,Exports,oil_aircraft,29814526180.0,0.9502366421071902,0.7150406674683568,0.7982010112226442,0.8821265374206259,0.931957583402387,0.8740766182452878,4415,0.8998240997070821,0.3521019146714476,0.4805804510021564,0.6691795856673245,0.8490307210711473,1.0,179,0.5257235147179522,0.9650017964083659,0.7829485440442442,0.8478284411226554,0.9162920268149638,0.9545772985683585,0.6984052773231092,43195,35761442364.0,0.16629408074397434
Australia,AUS,36,1989,Exports,oil_aircraft_precious,27473640313.0,0.947924760119357,0.7023469286983964,0.790053030567242,0.876434418398,0.9282525062735395,0.8688480132974943,4369,0.8992424184636101,0.358803729709439,0.49672302456193257,0.6693105769204878,0.8452674465935817,1.0,179,0.5426167075116719,0.9632215805471751,0.7732874417427407,0.8406915607783876,0.9118046778513926,0.951981972466322,0.6884971022223633,42759,35761442364.0,0.23175245468686934
Australia,AUS,36,1989,Exports,full_exclusion,27301730387.0,0.9485868266849045,0.7067693739730139,0.7934795579959003,0.8784729527773869,0.9292562157188516,0.8717937999758916,4337,0.9001461146841108,0.36084331170052736,0.4983055736451772,0.6715416404789508,0.8467629372315506,1.0,179,0.5442133916564781,0.9634322176591648,0.7750492134035446,0.8418245366580764,0.9124478423119226,0.9522790618568129,0.6917107637614149,42443,35761442364.0,0.23655958534592403
Australia,AUS,36,1990,Exports,baseline,38569701758.0,0.9523759159925567,0.7216153848072491,0.8018028575392232,0.8890612079697378,0.9353728809561515,0.8801688276720638,4490,0.9032541809967671,0.374524974541806,0.5100665936811261,0.697381190831245,0.8541151433240491,1.0,177,0.5570659889155993,0.9675222408211634,0.7950457942713968,0.858023928202551,0.9226912580058639,0.9583205531096293,0.7000902661996674,46963,38569701758.0,0.0
Australia,AUS,36,1990,Exports,oil_only,31096796228.0,0.9440819519332095,0.6869879780337094,0.7703907746428572,0.8675133336311226,0.922093789236763,0.8581510266955337,4449,0.9029726637082867,0.35147248976596407,0.49336387181216473,0.6878487106572168,0.8571593420610815,1.0,177,0.5469355360371756,0.961916999427141,0.766999091775378,0.8341726975605019,0.907812824093475,0.9497259306541577,0.6730887539840363,46584,38569701758.0,0.1937506692918618
Australia,AUS,36,1990,Exports,oil_aircraft,30794802707.0,0.9443032331888861,0.6896973386737145,0.7724339802830743,0.8680618180068277,0.9223765262358172,0.8591736965402212,4434,0.9030391527890802,0.35467067576040373,0.49260461748474743,0.6872128737551388,0.8569515987514782,1.0,177,0.5466883695985876,0.9620774660071123,0.7689197215612478,0.835461970150949,0.9083282874756559,0.9498544101193744,0.6765079679261736,46385,38569701758.0,0.20158048148213525
Australia,AUS,36,1990,Exports,oil_aircraft_precious,27797659152.0,0.9403479734387159,0.6677180769253573,0.7585052021361658,0.8585819430512313,0.9162294177266197,0.8500171227295578,4385,0.9027523412941982,0.3620589320117583,0.513690674812545,0.6857415425078524,0.8567304662157691,1.0,177,0.5661186786610326,0.9592083693485121,0.7527587538425689,0.8234663263490324,0.9011404825502265,0.9457076107470936,0.6572941442691735,45899,38569701758.0,0.2792876821705187
Australia,AUS,36,1990,Exports,full_exclusion,27638323280.0,0.940915188563737,0.6715674943071294,0.7627536161448358,0.8599689773221294,0.9172028802247949,0.8523136456344396,4353,0.9029033837479872,0.3631109042444054,0.5147795367273814,0.6868820846573439,0.856603835158556,1.0,177,0.5675074586145444,0.9594706412894318,0.755047261607977,0.8250503696981143,0.9018928616786915,0.946082156905721,0.6608472691690724,45558,38569701758.0,0.2834187971321984
Australia,AUS,36,1991,Exports,baseline,40402340973.0,0.9493618314925618,0.7022047664010244,0.791546152916529,0.8792812101590992,0.9306944126611066,0.86876260267831,4511,0.9083207757914671,0.36932109661595275,0.5026868232356274,0.7356650281938603,0.8791964127706933,1.0,181,0.5563546585585616,0.965508973996746,0.7835249723068071,0.8501608431292222,0.9173212136585767,0.9552574321075096,0.6773279543699672,50325,40402340973.0,0.0
Australia,AUS,36,1991,Exports,oil_only,31957036297.0,0.9394424361869975,0.6545538167744192,0.7536512132466099,0.8533078475290252,0.9150790255148046,0.8418162790185099,4471,0.9078311811686426,0.3338482981289959,0.478438416469656,0.7350246485217741,0.8866431878934884,1.0,181,0.5349838500388395,0.9588729204584052,0.7501700398059288,0.8229523619018719,0.899972585715025,0.9451628240268165,0.6410092809489667,49942,40402340973.0,0.20903008272822143
Australia,AUS,36,1991,Exports,oil_aircraft,31629485374.0,0.9395415598521919,0.6560093751337556,0.7546111410848274,0.8534666704754588,0.9150781112547608,0.8425311111734309,4457,0.9077617232725439,0.33685494449297076,0.4775871605997506,0.7342895611286654,0.886178752027393,1.0,181,0.5344039584942,0.9589739159250623,0.7517259577844689,0.8238908429228242,0.9003062251973268,0.9452427937564963,0.6432526645446015,49747,40402340973.0,0.21713730906985584
