variant,variant_label,outcome,outcome_label,excluded_reporter_code,excluded_country,excluded_iso3,years,mean_spearman,median_spearman,min_spearman,max_spearman,share_positive,min_year_countries,max_year_countries
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,344,"China, Hong Kong SAR",HKG,25,0.41279459360433557,0.4173734491434742,0.27062161406584107,0.4620657604275589,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,446,"China, Macao SAR",MAC,25,0.4180106764178382,0.4210456605088881,0.2789858631345911,0.46656278405401896,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,170,Colombia,COL,25,0.4122923502780389,0.4166805731906403,0.27109385035021044,0.4629576473321988,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,174,Comoros,COM,25,0.40437381834390107,0.40662251655629134,0.2614828974907253,0.45550817050417236,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,188,Costa Rica,CRI,25,0.41553959867775964,0.41903450679679327,0.27692691293474075,0.46624156808070033,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,191,Croatia,HRV,25,0.41550881348544744,0.41820494945974207,0.27660579226136955,0.46691817193939267,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,196,Cyprus,CYP,25,0.4181355910317493,0.4225485586942922,0.28137348978836263,0.4721396401014222,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,203,Czechia,CZE,25,0.41516505463844305,0.4187346360367482,0.2751890834082615,0.46441678797695446,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,384,Côte d'Ivoire,CIV,25,0.41630896617807067,0.4200906239107703,0.2772215883761872,0.4661185491973018,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,208,Denmark,DNK,25,0.41995436283705234,0.4234817680737985,0.28125259729956403,0.4714356987130857,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,212,Dominica,DMA,25,0.40646850355482056,0.41069901568463413,0.2622271418748914,0.45980016265830137,1.0,130,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,214,Dominican Rep.,DOM,25,0.41633920166495153,0.41957238164134725,0.27732359141361096,0.4662928259487831,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,218,Ecuador,ECU,25,0.41489546848951553,0.4179364329576895,0.27405949421605,0.46555471264839143,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,818,Egypt,EGY,25,0.419975094918483,0.42274904096535976,0.28382534057680825,0.47244377011871325,1.0,129,154
baseline,Inclusive world export basket,world_share_exposure,World-share percentile exposure,222,El Salvador,SLV,25,0.4138560937382257,0.41734645676882,0.2729639060363131,0.46458081315481925,1.0,129,154
