rich_side_ct,product_channel,rows,countries,median_mismatch,mean_mismatch,median_prody,median_base_log_gni,total_base_value_2024_usd,total_future_value_2024_usd,total_contraction_2024_usd,total_positive_expansion_2024_usd
0,continuing_product,375346,43,-0.5826466441930789,-0.6051258886614117,9.602337700919119,9.046644279305394,87659346404412.14,117757588113096.48,8409387995515.429,38507629704199.766
0,dying_product,35136,43,-0.9922356712822173,-1.0361343649044081,9.578509831316694,8.575462099540212,650129747950.8074,207781670366.56317,469272919239.34033,26924841655.09607
0,new_product,36460,43,-1.3985506469390305,-1.3070741018376795,9.565732215529152,8.216088098632316,78961219501.05042,288467580836.23474,7975109545.213532,217481470880.3979
1,continuing_product,403659,25,1.0041642679889602,1.1823438706013025,9.710531552035649,10.693988278351984,178888278883080.12,190171362606997.75,23387707756559.324,34670791480476.945
1,dying_product,17492,25,1.2934362139381417,1.4885925221239151,9.420234783336173,10.692853590836616,1184642602194.8186,211413641713.72202,996291251324.772,23062290843.675465
1,new_product,11579,25,1.327248726995009,1.5074491527084783,9.464710350147818,10.735961798317172,68162195541.248116,240901369303.67133,7243747630.011792,179982921392.435
