model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,variant,variant_label,bh_q_value
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_5pct_world_product_share,top_5pct_world_product_export_share,log_gdp_per_capita,0.009594041176749293,0.011903942999469196,0.8059548989084623,0.42151162111347007,-0.013922056064503092,0.03311013841800168,3728,155,0.13894693539640368,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,0.42151162111347
population_robustness_year_fe,cadot_broad_156,Exports,product,top_5pct_world_product_share,top_5pct_world_product_export_share,log_population,0.026128382793618003,0.007569274158759444,3.451900703501573,0.0007187415134457249,0.011175372083551342,0.041081393503684664,3729,155,0.06541917873221048,ok,3753,24,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,0.001889143035592983
main_gdp_year_fe,cadot_broad_156,Exports,product,top_10pct_world_product_share,top_10pct_world_product_export_share,log_gdp_current_usd,0.03159305676925025,0.006429938959080969,4.913430278312602,2.266477629069077e-06,0.01889078914046476,0.04429532439803574,3728,155,0.14176707641166308,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,2.7197731548828925e-06
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_10pct_world_product_share,top_10pct_world_product_export_share,log_gdp_current_usd,0.02823806055007119,0.00743297673842733,3.799024474822425,0.0002086656586029185,0.013554303766237607,0.04292181733390477,3728,155,0.14746405794795758,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,0.000417331317205837
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_10pct_world_product_share,top_10pct_world_product_export_share,log_gdp_per_capita,0.011485144825689785,0.010561239597212935,1.0874807563991506,0.2785234853145027,-0.009378457878666162,0.032348747530045734,3728,155,0.14746405794795758,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,0.3038438021612757
population_robustness_year_fe,cadot_broad_156,Exports,product,top_10pct_world_product_share,top_10pct_world_product_export_share,log_population,0.02221785317894562,0.007414929834688601,2.9963672852311873,0.0031854254259372156,0.007569747837935849,0.036865958519955395,3729,155,0.0657880161506188,ok,3753,24,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,0.003822510511124659
main_gdp_year_fe,cadot_broad_156,Exports,product,top_20pct_world_product_share,top_20pct_world_product_export_share,log_gdp_current_usd,0.027923627339367624,0.00575195434002179,4.854632997532077,2.934288621969236e-06,0.01656071022919433,0.03928654444954092,3728,155,0.1583582671471786,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,2.934288621969236e-06
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_20pct_world_product_share,top_20pct_world_product_export_share,log_gdp_current_usd,0.02381356349083963,0.006387315962661805,3.7282582590318163,0.00027038596691872184,0.011195497082486001,0.036431629899193255,3728,155,0.17093625843469007,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,0.0004635188004320946
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,top_20pct_world_product_share,top_20pct_world_product_export_share,log_gdp_per_capita,0.014069964750877248,0.009009957581365958,1.5616016639163983,0.12043451265520908,-0.0037290988562325,0.031869028357986995,3728,155,0.17093625843469007,ok,3753,25,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,0.16848518661515482
population_robustness_year_fe,cadot_broad_156,Exports,product,top_20pct_world_product_share,top_20pct_world_product_export_share,log_population,0.018071347779156793,0.006334285262596082,2.8529418916239844,0.004927440823286238,0.005558042885502355,0.03058465267281123,3729,155,0.06166541391297953,ok,3753,24,,year,clustered by reporter_code,reporter_code,"Student t, df=154",baseline,Inclusive world export basket,0.004927440823286238
main_gdp_year_fe,cadot_broad_156,Exports,product,exposure,world_share_exposure,log_gdp_current_usd,0.011200143590306853,0.002099078813203467,5.335742288406016,3.34390231295506e-07,0.007053438461548552,0.015346848719065154,3721,155,0.15103870931984908,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,4.0126827755460715e-07
conditional_gdp_gdppc_year_fe,cadot_broad_156,Exports,product,exposure,world_share_exposure,log_gdp_current_usd,0.005343306788300349,0.0021784085589587926,2.4528487855621877,0.015289089644327365,0.0010398866941403115,0.009646726882460387,3721,155,0.2813810585168709,ok,3753,32,,year,clustered by reporter_code,reporter_code,"Student t, df=154",noncommodity_broad,Broad-primary-excluded non-commodity basket,0.01667900688472076
