country,iso3,reporter_code,available_hs_years,first_available_year,last_available_year,flow,actual_metric_years,first_metric_year,last_metric_year,balanced_2000_2024_country,raw_files_available_for_any_year
Iran,IRN,364,19,2000,2022,Imports,19,2000,2022,False,True
Ireland,IRL,372,25,2000,2024,Imports,25,2000,2024,True,True
Israel,ISR,376,25,2000,2024,Imports,25,2000,2024,True,True
Italy,ITA,380,25,2000,2024,Imports,25,2000,2024,True,True
Jamaica,JAM,388,25,2000,2024,Imports,25,2000,2024,True,True
Japan,JPN,392,25,2000,2024,Imports,25,2000,2024,True,True
Jordan,JOR,400,25,2000,2024,Imports,25,2000,2024,True,True
Kazakhstan,KAZ,398,25,2000,2024,Imports,25,2000,2024,True,True
Kenya,KEN,404,22,2000,2024,Imports,22,2000,2024,False,True
Kuwait,KWT,414,23,2000,2024,Imports,22,2000,2024,False,True
Kyrgyzstan,KGZ,417,25,2000,2024,Imports,25,2000,2024,True,True
Latvia,LVA,428,25,2000,2024,Imports,25,2000,2024,True,True
Lebanon,LBN,422,25,2000,2024,Imports,25,2000,2024,True,True
Lesotho,LSO,426,25,2000,2024,Imports,25,2000,2024,True,True
Lithuania,LTU,440,25,2000,2024,Imports,25,2000,2024,True,True
Luxembourg,LUX,442,25,2000,2024,Imports,25,2000,2024,True,True
Madagascar,MDG,450,25,2000,2024,Imports,25,2000,2024,True,True
Malawi,MWI,454,25,2000,2024,Imports,25,2000,2024,True,True
Malaysia,MYS,458,25,2000,2024,Imports,25,2000,2024,True,True
Maldives,MDV,462,25,2000,2024,Imports,25,2000,2024,True,True
Mali,MLI,466,20,2000,2023,Imports,20,2000,2023,False,True
Malta,MLT,470,25,2000,2024,Imports,25,2000,2024,True,True
Mauritania,MRT,478,25,2000,2024,Imports,25,2000,2024,True,True
Mauritius,MUS,480,25,2000,2024,Imports,25,2000,2024,True,True
Mexico,MEX,484,25,2000,2024,Imports,25,2000,2024,True,True
Mongolia,MNG,496,19,2000,2023,Imports,18,2000,2023,False,True
Montenegro,MNE,499,19,2006,2024,Imports,19,2006,2024,False,True
Montserrat,MSR,500,25,2000,2024,Imports,24,2000,2024,False,True
Morocco,MAR,504,25,2000,2024,Imports,25,2000,2024,True,True
Mozambique,MOZ,508,25,2000,2024,Imports,25,2000,2024,True,True
Namibia,NAM,516,25,2000,2024,Imports,25,2000,2024,True,True
Netherlands,NLD,528,25,2000,2024,Imports,25,2000,2024,True,True
New Zealand,NZL,554,25,2000,2024,Imports,25,2000,2024,True,True
Nicaragua,NIC,558,25,2000,2024,Imports,25,2000,2024,True,True
Niger,NER,562,25,2000,2024,Imports,25,2000,2024,True,True
Nigeria,NGA,566,23,2000,2024,Imports,23,2000,2024,False,True
North Macedonia,MKD,807,25,2000,2024,Imports,25,2000,2024,True,True
Norway,NOR,579,25,2000,2024,Imports,25,2000,2024,True,True
Oman,OMN,512,25,2000,2024,Imports,25,2000,2024,True,True
Pakistan,PAK,586,22,2003,2024,Imports,22,2003,2024,False,True
Panama,PAN,591,25,2000,2024,Imports,25,2000,2024,True,True
Paraguay,PRY,600,25,2000,2024,Imports,25,2000,2024,True,True
Peru,PER,604,25,2000,2024,Imports,25,2000,2024,True,True
Philippines,PHL,608,25,2000,2024,Imports,25,2000,2024,True,True
Poland,POL,616,25,2000,2024,Imports,25,2000,2024,True,True
Portugal,PRT,620,25,2000,2024,Imports,25,2000,2024,True,True
Qatar,QAT,634,25,2000,2024,Imports,23,2000,2024,False,True
Rep. of Korea,KOR,410,25,2000,2024,Imports,25,2000,2024,True,True
Rep. of Moldova,MDA,498,25,2000,2024,Imports,25,2000,2024,True,True
Romania,ROU,642,25,2000,2024,Imports,25,2000,2024,True,True
Russian Federation,RUS,643,22,2000,2021,Imports,22,2000,2021,False,True
Rwanda,RWA,646,22,2001,2022,Imports,22,2001,2022,False,True
Saint Lucia,LCA,662,21,2000,2020,Imports,21,2000,2020,False,True
Saint Vincent and the Grenadines,VCT,670,24,2000,2023,Imports,24,2000,2023,False,True
Samoa,WSM,882,23,2001,2024,Imports,23,2001,2024,False,True
Sao Tome and Principe,STP,678,24,2000,2023,Imports,24,2000,2023,False,True
Saudi Arabia,SAU,682,25,2000,2024,Imports,25,2000,2024,True,True
Senegal,SEN,686,25,2000,2024,Imports,25,2000,2024,True,True
Serbia,SRB,688,19,2006,2024,Imports,19,2006,2024,False,True
Seychelles,SYC,690,25,2000,2024,Imports,25,2000,2024,True,True
Singapore,SGP,702,25,2000,2024,Imports,25,2000,2024,True,True
Slovakia,SVK,703,25,2000,2024,Imports,25,2000,2024,True,True
Slovenia,SVN,705,25,2000,2024,Imports,25,2000,2024,True,True
South Africa,ZAF,710,25,2000,2024,Imports,25,2000,2024,True,True
Spain,ESP,724,25,2000,2024,Imports,25,2000,2024,True,True
Sri Lanka,LKA,144,24,2000,2024,Imports,24,2000,2024,False,True
Suriname,SUR,740,25,2000,2024,Imports,25,2000,2024,True,True
Sweden,SWE,752,25,2000,2024,Imports,25,2000,2024,True,True
Switzerland,CHE,757,25,2000,2024,Imports,25,2000,2024,True,True
Thailand,THA,764,25,2000,2024,Imports,25,2000,2024,True,True
Togo,TGO,768,24,2000,2024,Imports,24,2000,2024,False,True
Tonga,TON,776,22,2000,2023,Imports,22,2000,2023,False,True
Trinidad and Tobago,TTO,780,25,2000,2024,Imports,25,2000,2024,True,True
Tunisia,TUN,788,25,2000,2024,Imports,25,2000,2024,True,True
Türkiye,TUR,792,25,2000,2024,Imports,25,2000,2024,True,True
USA,USA,842,25,2000,2024,Imports,25,2000,2024,True,True
Uganda,UGA,800,25,2000,2024,Imports,25,2000,2024,True,True
Ukraine,UKR,804,25,2000,2024,Imports,25,2000,2024,True,True
United Arab Emirates,ARE,784,24,2000,2023,Imports,15,2005,2023,False,True
United Kingdom,GBR,826,25,2000,2024,Imports,25,2000,2024,True,True
United Rep. of Tanzania,TZA,834,25,2000,2024,Imports,25,2000,2024,True,True
Uruguay,URY,858,25,2000,2024,Imports,25,2000,2024,True,True
Viet Nam,VNM,704,24,2000,2023,Imports,24,2000,2023,False,True
Zambia,ZMB,894,25,2000,2024,Imports,25,2000,2024,True,True
Zimbabwe,ZWE,716,25,2000,2024,Imports,25,2000,2024,True,True
