country,iso3,reporter_code,year,population,population_quartile,is_bottom_population_quartile,world_relative_product_gini,active_product_gini,driver_rank,product_id,country_product_exports,country_share,leave_one_out_product_exports,leave_one_out_world_weight,world_weight_percentile,relative_intensity,loo_gini_contribution,positive_loo_gini_contribution,driver_bucket,representative_classification_code,representative_cmd_code,product_description,product_label
Azerbaijan,AZE,31,2000,8048600.0,2,False,0.915531124226638,0.989967272941044,14,HS1992:870899,106596.0,6.107771364445314e-05,50461810997.576,0.008677124460480978,0.9976166832174777,0.007038934836376378,0.0006985781901390764,0.0006985781901390764,underweight_large_world_product,H0,870899,Other parts and accessories :-- Other,870899 - Other parts and accessories :-- Other
Azerbaijan,AZE,31,2000,8048600.0,2,False,0.915531124226638,0.989967272941044,15,HS1992:271121,0.0,0.0,44559761886.928,0.007662241845439202,0.9974180734856007,0.0,0.0006522184097795813,0.0006522184097795813,missing_large_world_product,H0,271121,In gaseous state :-- Natural gas,271121 - In gaseous state :-- Natural gas
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,1,HS1992:270112,5386732005.0,0.08930186564505078,9697207910.787,0.00168444256781759,0.9849056603773585,53.01567851063793,0.012766321677187387,0.012766321677187387,overweight_large_world_product,H0,270112,"Coal, whether or not pulverised, but not agglomerated :-- Bituminous coal","270112 - Coal, whether or not pulverised, but not agglomerated :-- Bituminous coal"
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,2,HS1992:710813,2859052019.0,0.04739769474998213,5257164882.953,0.000913189899231843,0.9686196623634558,51.9034373790732,0.006412297971553738,0.006412297971553738,overweight_large_world_product,H0,710813,Non-monetary :-- Other semi-manufactured forms,710813 - Non-monetary :-- Other semi-manufactured forms
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,3,HS1992:260111,2527049012.0,0.04189371053518419,3184647861.0930004,0.0005531856664398291,0.941012909632572,75.73173543125604,0.006038668147784976,0.006038668147784976,overweight_large_world_product,H0,260111,"Iron ores and concentrates, other than roasted iron pyrites :-- Non-agglomerated","260111 - Iron ores and concentrates, other than roasted iron pyrites :-- Non-agglomerated"
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,4,HS1992:281820,2386487238.0,0.03956346120313523,2884997347.941,0.0005011352118692773,0.9326713008937438,78.94767772466064,0.005724260532702141,0.005724260532702141,overweight_large_world_product,H0,281820,Aluminium oxide; other than artificial corundum,281820 - Aluminium oxide; other than artificial corundum
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,5,HS1992:100190,2157108449.0,0.03576079313312746,10085241231.42,0.0017518454583216453,0.9857000993048659,20.413212228998823,0.0034903841996960505,0.0034903841996960505,overweight_large_world_product,H0,100190,Other,100190 - Other
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,6,HS1992:510111,1191103575.0,0.0197462527048419,273181620.901,4.745270548228419e-05,0.5183714001986097,416.12490803530454,0.0031589762813523103,0.0031589762813523103,overweight_mid_world_product,H0,510111,"Greasy, including fleece-washed wool :-- Shorn wool","510111 - Greasy, including fleece-washed wool :-- Shorn wool"
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,7,HS1992:760110,1897366958.0,0.03145476868078844,10294126182.496,0.0017881295832580112,0.9864945382323734,17.590877627267464,0.002797963453128549,0.002797963453128549,overweight_large_world_product,H0,760110,"Aluminium, not alloyed","760110 - Aluminium, not alloyed"
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,8,HS1992:854211,24016830.6294,0.00039815379344950715,116601134731.08827,0.020254068656030202,0.9994041708043694,0.019657966022099252,0.002680254430919793,0.002680254430919793,underweight_large_world_product,H0,854211,"Monolithic integrated circuits, digital","854211 - Monolithic integrated circuits, digital"
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,9,HS1992:020230,1176245610.0,0.01949993564415329,2590710859.677,0.0004500165091946635,0.9243296921549156,43.33160060960832,0.002455683691685473,0.002455683691685473,overweight_large_world_product,H0,020230,Boneless,020230 - Boneless
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,10,HS1992:854219,8930637.3706,0.0001480531383134942,76338322720.04973,0.013260262286674289,0.9990069513406157,0.011165174195858711,0.0019146346354921295,0.0019146346354921295,underweight_large_world_product,H0,854219,"Monolithic digital integrated circuits :-- Other, including circuits obtained by a combination of bipolar and MOS technologies (BIMOS technology)","854219 - Monolithic digital integrated circuits :-- Other, including circuits obtained by a combination of bipolar and MOS technologies (BIMOS technology)"
Australia,AUS,36,2000,19028802.0,3,False,0.8388118090200221,0.9442757406910944,11,HS1992:520100,885583947.0,0.014681313007404344,4139032893.788,0.0007189660426005966,0.9586891757696127,20.420036743738365,0.0013881937754660623,0.0013881937754660623,overweight_large_world_product,H0,520100,"Cotton, not carded or combed.","520100 - Cotton, not carded or combed."
