country,iso3,reporter_code,snapshot,year,flow,source_raw_file,active_nonenergy_products,total_nonenergy_imports,gini,theil,hhi,direct_active_gini,direct_active_hhi,fixed_nonenergy_universe_count,top10_share,top5_share,top5_gini_contribution,top5_theil_contribution,top5_hhi_contribution,rank6_50_share,rank6_50_gini_contribution,rank6_50_theil_contribution,rank6_50_hhi_contribution,rank51_200_share,rank51_200_gini_contribution,rank51_200_theil_contribution,rank51_200_hhi_contribution,rank201_plus_share,rank201_plus_gini_contribution,rank201_plus_theil_contribution,rank201_plus_hhi_contribution
Albania,ALB,8,start,2000,Imports,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,3406,878351084.0,0.8641491595683831,2.4304624788214566,0.007947764082963282,0.8641491595683832,0.007947764082963282,4924,0.22302526013618496,0.1445775263596077,0.1443988035564601,0.7231062045980614,0.004565292697689981,0.3027761428982309,0.29914735318294156,1.1099073637231165,0.0028225303986030045,0.24181145096452114,0.2260983673849091,0.5148874494491338,0.00043816971647514047,0.31083487977764024,0.1945046354440723,0.08256146105114417,0.00012177127019515637
Albania,ALB,8,mid,2012,Imports,COMTRADE-FINAL-CA0082012H4[2013-05-04].gz,3902,3666674921.0,0.873460956825583,2.3323628865424797,0.006753775141980201,0.8734609568255833,0.006753775141980201,4924,0.20417568472983813,0.1349483687245041,0.13479286452454017,0.6622676056227169,0.0037766607336372445,0.28994026606543555,0.2866822904473706,1.0336234145443621,0.0023535722662539403,0.2571706510120609,0.24274655533178563,0.5658181086703051,0.0005036551933291801,0.31794071419799946,0.20923924652188677,0.07065375770509494,0.00011988694875983445
Albania,ALB,8,end,2024,Imports,COMTRADE-FINAL-CA0082024H6[2025-05-07].gz,3038,7026034818.835,0.833620880004922,2.230513635999468,0.006165747378589749,0.8336208800049212,0.006165747378589749,4924,0.17368664656447527,0.12486605795619812,0.12471544137939254,0.6153418416201843,0.003847191625808914,0.2549679448974307,0.251069910332676,0.8632151935281624,0.0016214808050662552,0.26926121435720773,0.24964378259642955,0.6019158433359113,0.0005404152312509,0.35090478278916337,0.20819174569642385,0.15004075751520926,0.00015665971646367923
Algeria,DZA,12,start,2000,Imports,COMTRADE-FINAL-CA0122000H1[2002-09-01].gz,3860,7463504075.0,0.9007241581234814,2.7872408435437137,0.014437724569096304,0.9007241581234819,0.014437724569096304,4924,0.2863142877707881,0.1912634400216362,0.1910830257324696,1.0332943851638778,0.010260614777395805,0.34176893029998107,0.3382194855674592,1.3005278390219877,0.0037307065901258122,0.21999564516684478,0.2074582443806196,0.44908505099862395,0.00036803350152406314,0.2469719845115379,0.16396340244293303,0.00433356835922424,7.836970005062285e-05
Algeria,DZA,12,mid,2009,Imports,COMTRADE-FINAL-CA0122009H3[2010-04-26].gz,4255,36072699881.0,0.9118831788426401,2.6986232717044234,0.009735331847113796,0.9118831788426398,0.009735331847113796,4924,0.247958967566695,0.1634486097321904,0.16328159069751602,0.8349873377969068,0.005633719141057512,0.3507702237580263,0.34731290245035795,1.326583898723373,0.003552154425758521,0.24839409325728987,0.2357451467968103,0.5401165524185021,0.0004764579317187681,0.2373870732524934,0.1655435388979558,-0.003064517234358362,7.300034857899459e-05
Algeria,DZA,12,end,2024,Imports,COMTRADE-FINAL-CA0122024H4[2026-03-31].gz,3999,44500765188.0,0.8865012846551209,2.4491679022757524,0.007871207317871685,0.8865012846551206,0.007871207317871685,4924,0.22028738318511987,0.1441682153081273,0.1440161686222078,0.7212505628473641,0.004590538157256399,0.30965697284250704,0.30626975310227156,1.124552785786078,0.0026839555292593703,0.253066637780375,0.2392133055196557,0.5527920306179046,0.0004885863148471478,0.2931081740689906,0.19700205741098561,0.05057252302440501,0.00010812731650876991
Andorra,AND,20,start,2000,Imports,COMTRADE-FINAL-CA0202000H1[2002-09-01].gz,2811,796650949.9999999,0.8744121103673207,2.602279372004502,0.007849164508351653,0.874412110367321,0.007849164508351653,4924,0.21309994546545136,0.13947064520540647,0.13926616148678223,0.6935911363056266,0.004275988202027741,0.31885928708677247,0.31397974556647734,1.1698461991358968,0.00285101275901732,0.2798913535929381,0.25847081488527557,0.6442916958715248,0.0006141075442807377,0.2617787141148831,0.1626953884287855,0.09455034069145438,0.0001080560030258538
Andorra,AND,20,mid,2012,Imports,COMTRADE-FINAL-CA0202012H4[2023-04-12].gz,2990,1113341271.7949998,0.8939629485460202,2.705531746287274,0.00789659384232364,0.8939629485460201,0.00789659384232364,4924,0.2192409694388308,0.1350190365175638,0.1348000388356158,0.6604610560246575,0.003656971615370758,0.353571286591093,0.34848046511350067,1.3334901686475724,0.0035161012358830156,0.282243338277371,0.2620019870982653,0.653696006063224,0.0006361378547580512,0.2291663386139723,0.14868045749863829,0.05788451555181945,8.738313631181456e-05
Andorra,AND,20,end,2023,Imports,COMTRADE-FINAL-CA0202023H6[2024-02-26].gz,3415,1730145534.6740003,0.9049307872095217,2.734665244499337,0.009760577000622588,0.9049307872095222,0.009760577000622588,4924,0.23433480479644703,0.1637491976848981,0.1635615667027431,0.8450943056712721,0.006194531010512732,0.33172650721585717,0.32742603626049666,1.2209362094681542,0.0029074885961451673,0.2685263986677374,0.2516367117092154,0.6072222469664903,0.0005661917329732553,0.23599789643150712,0.16230647253706648,0.06141248239342104,9.23656609914349e-05
Angola,AGO,24,start,2004,Imports,COMTRADE-FINAL-CA0242004H1[2024-11-06].gz,3642,3879460019.8580003,0.8951707443086825,2.5175424579508103,0.006548626118798328,0.8951707443086829,0.006548626118798328,4924,0.18653037265260625,0.11560513356738135,0.1154639040689315,0.5506471454544745,0.002840175613179514,0.33631671059733015,0.33215383516143543,1.2390514530760506,0.00295072351428629,0.2844530074312003,0.26785155193558347,0.663346711951976,0.0006545746456150633,0.2636251484040882,0.17970145314273223,0.06449714746830881,0.0001031523457174603
