cmd_code,trade_value,rank,share,gini_contribution,theil_contribution,hhi_contribution,country,iso3,reporter_code,snapshot,year,total_nonenergy_imports,product_label
870333,70371074.472,8,0.010015759427117151,0.009966307027049095,0.039044244710691164,0.00010031543690188609,Albania,ALB,8,end,2024,7026034818.835,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 2,500 cc"
210690,61048424.6117744,9,0.008688887286484719,0.008640266126553765,0.03263690382110093,7.549676227723578e-05,Albania,ALB,8,end,2024,7026034818.835,Other
240220,58841275.65099999,10,0.008374748655281582,0.008322372017871987,0.031148556710002485,7.013641503914066e-05,Albania,ALB,8,end,2024,7026034818.835,Cigarettes containing tobacco
100110,646678536.0,1,0.08664543215915642,0.08662298515600639,0.5247200155950424,0.007507430914046978,Algeria,DZA,12,start,2000,7463504075.0,Durum wheat
880240,212962287.0,2,0.02853382069065193,0.028511644146073704,0.14110577202467847,0.0008141789232062761,Algeria,DZA,12,start,2000,7463504075.0,"Aeroplanes and other aircraft, of an unladen weight exceeding 15,000 kg"
170199,207194329.0,3,0.027760998978217884,0.02772503913498185,0.13652174515705284,0.0007706730642686143,Algeria,DZA,12,start,2000,7463504075.0,Other
040221,184950955.0,4,0.02478071334073734,0.024735774223280046,0.11905117768716,0.0006140837536757976,Algeria,DZA,12,start,2000,7463504075.0,"In powder, granules or other solid forms, of a fat content, by weight, exceeding 1.5 % :-- Not containing added sugar or other sweetening matter"
040210,175709357.0,5,0.023542474852872645,0.023487583072127605,0.11189567469994417,0.0005542481221981408,Algeria,DZA,12,start,2000,7463504075.0,"In powder, granules or other solid forms, of a fat content, by weight, not exceeding 1.5 %"
100590,175229512.0,6,0.02347818266582778,0.023411275927660912,0.1115258942808558,0.0005512250612899759,Algeria,DZA,12,start,2000,7463504075.0,Other
100190,157234242.0,7,0.021067080612533866,0.020996129304771446,0.09778986726099867,0.00044382188553500026,Algeria,DZA,12,start,2000,7463504075.0,Other
721420,127352723.50799999,8,0.017063395722471016,0.016997087189870738,0.07560887524521044,0.00029115947358164215,Algeria,DZA,12,start,2000,7463504075.0,"Containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling"
870421,126243810.0,9,0.016914817588546703,0.01684032227792357,0.07480258771588116,0.0002861110540538089,Algeria,DZA,12,start,2000,7463504075.0,"Other, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- g.v.w. not exceeding 5 tonnes"
090111,123352102.0,10,0.016527371159772562,0.0164460188146856,0.0727062042431155,0.00027315399745288184,Algeria,DZA,12,start,2000,7463504075.0,"Coffee, not roasted :-- Not decaffeinated"
730420,1583666469.0,1,0.04390207758843522,0.04389175982636979,0.23602120652374334,0.0019273924165809863,Algeria,DZA,12,mid,2009,36072699881.0,"Casings, tubing and drill pipe, for oil drilling"
721420,1378088215.836,2,0.03820307934759989,0.0381761441565205,0.200070952736137,0.001459475271639013,Algeria,DZA,12,mid,2009,36072699881.0,"Containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling"
300490,1103932430.0,3,0.030602988787691403,0.030567027578775198,0.15348068731499798,0.0009365429227395657,Algeria,DZA,12,mid,2009,36072699881.0,Other
100190,1037530986.0,4,0.028762221553216265,0.02871490414995598,0.14246457510542138,0.0008272653886762983,Algeria,DZA,12,mid,2009,36072699881.0,Other
100110,792814544.0,5,0.02197824245524762,0.02193175498589457,0.10294991611660717,0.0004830431414216489,Algeria,DZA,12,mid,2009,36072699881.0,Durum wheat
870322,754996334.0,6,0.02092985378113234,0.020875746051028356,0.09701610432087988,0.00043805877929957974,Algeria,DZA,12,mid,2009,36072699881.0,"Other vehicles, with spark-ignition internal combustion reciprocating piston engine :-- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc"
730890,653072616.0,7,0.018104345340227295,0.01804903241674364,0.08129345653679221,0.00032776732019820977,Algeria,DZA,12,mid,2009,36072699881.0,Other
