country,iso3,reporter_code,year,flow,variant,total_trade_value,product_gini,product_top_1pct_share,product_top_2pct_share,product_top_5pct_share,product_top_10pct_share,product_top_200_share,product_active_count,partner_gini,partner_top_1pct_share,partner_top_2pct_share,partner_top_5pct_share,partner_top_10pct_share,partner_top_200_share,partner_active_count,top_5_partner_share,product_partner_cell_gini,product_partner_cell_top_1pct_share,product_partner_cell_top_2pct_share,product_partner_cell_top_5pct_share,product_partner_cell_top_10pct_share,product_partner_cell_top_200_share,product_partner_cell_active_count
Australia,AUS,36,1988,Exports,baseline,32205394052.0,0.9549242802028248,0.7326296122911354,0.814523195823805,0.8956547747382302,0.9400432991478926,0.8876215677362518,4455,0.8953360200147822,0.3464108701165598,0.48017929173698903,0.6703746080591506,0.8411586197100943,1.0,177,0.5271798440219874,0.9672215584296371,0.7928934951632494,0.8577239438026547,0.9221324900434105,0.9580147641163226,0.7064327507455893,43142
Australia,AUS,36,1988,Imports,baseline,33025740133.0,0.8081090458067646,0.31931887029724665,0.4205019639854622,0.5723195598912091,0.701914485236224,0.5386289451913069,4848,0.8981440873837652,0.4115459789020438,0.4853204841875572,0.6910144992692085,0.8392951633293831,1.0,150,0.5950439922575285,0.9088222974426685,0.5017636162358645,0.607173950326196,0.7560427681997833,0.8618578246353574,0.35663524361808435,59714
Australia,AUS,36,1989,Exports,baseline,35761442364.0,0.9556036843980706,0.7329451677090638,0.8145962689224601,0.8964025339556911,0.9409948582184653,0.8881684678908272,4471,0.8994779314834616,0.36974742873656874,0.49342774145942725,0.6807043852209205,0.8444431362030284,1.0,179,0.5417091211203922,0.9685780844963423,0.7979036430232057,0.8617407799810297,0.925943219821971,0.9604426682066922,0.7070077045732439,43731
Australia,AUS,36,1989,Imports,baseline,39839624977.0,0.8158771988796742,0.34161854786176393,0.4410454652157003,0.5882167654070285,0.7121894570137234,0.5549407393208052,4869,0.896825158535848,0.4222429651060116,0.4886586529928218,0.6868251826867592,0.8376473429723771,1.0,148,0.5910175473186157,0.9131136601649861,0.5201160664781024,0.6234027013642388,0.766755225347512,0.8683089182684602,0.3728270592048751,62511
Australia,AUS,36,1990,Exports,baseline,38569701758.0,0.9523759159925567,0.7216153848072491,0.8018028575392232,0.8890612079697378,0.9353728809561515,0.8801688276720638,4490,0.9032541809967671,0.374524974541806,0.5100665936811261,0.697381190831245,0.8541151433240491,1.0,177,0.5570659889155993,0.9675222408211634,0.7950457942713968,0.858023928202551,0.9226912580058639,0.9583205531096293,0.7000902661996674,46963
Australia,AUS,36,1990,Imports,baseline,38632769854.0,0.8178561698655062,0.3537698644091635,0.450859438523965,0.5938280151720648,0.7161557512846928,0.563023093844976,4839,0.8975402791132692,0.4217755806942975,0.4905932978563696,0.6912313704380965,0.8318167832760957,1.0,149,0.5995233789482456,0.9128881318132394,0.5224199310914881,0.6248316691561445,0.7665442824554249,0.8674258221101974,0.37962272701193617,61618
Australia,AUS,36,1991,Exports,baseline,40402340973.0,0.9493618314925618,0.7022047664010244,0.791546152916529,0.8792812101590992,0.9306944126611066,0.86876260267831,4511,0.9083207757914671,0.36932109661595275,0.5026868232356274,0.7356650281938603,0.8791964127706933,1.0,181,0.5563546585585616,0.965508973996746,0.7835249723068071,0.8501608431292222,0.9173212136585767,0.9552574321075096,0.6773279543699672,50325
Australia,AUS,36,1991,Imports,baseline,38438777372.0,0.8206311141148188,0.3681246915597136,0.45723310699789654,0.5971006038219836,0.7189114525044576,0.5669280780213886,4817,0.8991141845872148,0.41048683495572447,0.5324669114712549,0.6764060738294806,0.8392987282030558,1.0,152,0.5780354028165576,0.9160494869532521,0.5338020068231009,0.6350556867550516,0.7755860734976553,0.8731790976642513,0.39532787132998615,61121
Australia,AUS,36,1992,Exports,baseline,41744401043.0,0.9466655457696345,0.6804939648250974,0.7770540585930715,0.8713193673693693,0.9266484283522026,0.8599359055127598,4523,0.9109599911278141,0.34742586604753745,0.4796824186164189,0.7331868983692679,0.8822429466903491,1.0,189,0.5381651974802296,0.9642532027190147,0.7786561131998945,0.8444640205686038,0.9129518602924275,0.952839440408497,0.6659365970388395,53898
Australia,AUS,36,1992,Imports,baseline,40570634351.0,0.8217397584738932,0.36602393870713473,0.45660102865863617,0.5999261389759383,0.7217865170569662,0.5677066641782074,4826,0.9015744034084905,0.39861364641446345,0.514802012122968,0.6923500584926804,0.8495801151097954,1.0,161,0.5603554057921613,0.9159272026115992,0.5316198009723351,0.6330413733934371,0.7745507205564669,0.8725584953080094,0.3885445939203427,62756
