metric,rank,country,iso3,reporter_code,year,flow,metric_value,active_count,universe_count,total_trade_value,product_id_mode,harmonization_method
gini,43,Australia,AUS,36,2024,Exports,0.9779723470097812,4603,5037,332797921577.225,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,44,Ireland,IRL,372,2024,Exports,0.9769054597594924,4504,5037,241995087870.668,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,45,Lesotho,LSO,426,2024,Exports,0.9768522298062321,1801,5037,1004368215.3760002,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,46,Madagascar,MDG,450,2024,Exports,0.9764307115726747,2486,5037,2550850031.788,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,47,Suriname,SUR,740,2024,Exports,0.9764020383476482,957,5037,1474376618.1499999,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,48,Honduras,HND,340,2024,Exports,0.9746987567056515,2883,5037,6970519872.369999,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,49,Samoa,WSM,882,2024,Exports,0.9733622019941075,944,5037,41065343.626,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,50,Costa Rica,CRI,188,2024,Exports,0.9730104190292037,3446,5037,19880341333.983,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,51,"China, Hong Kong SAR",HKG,344,2024,Exports,0.9723060896218516,4275,5037,638725748320.2859,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,52,Colombia,COL,170,2024,Exports,0.9718920565828371,4091,5037,49546391713.549995,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,53,Morocco,MAR,504,2024,Exports,0.971042427882786,3733,5037,80525530850.75201,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,54,Belize,BLZ,84,2024,Exports,0.9704882232158079,651,5037,282037866.724,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,55,Bermuda,BMU,60,2024,Exports,0.9696188338446312,806,5037,42187407.150000006,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,56,Montserrat,MSR,500,2024,Exports,0.969498000772965,142,5037,6145994.407000001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,57,Dominican Rep.,DOM,214,2024,Exports,0.9694227901138124,3078,5037,12767215664.732,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,58,Montenegro,MNE,499,2024,Exports,0.9664562680125279,2061,5037,660673118.52,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,59,Georgia,GEO,268,2024,Exports,0.9658998836874266,2911,5037,6404012465.124,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,60,Fiji,FJI,242,2024,Exports,0.965268338722127,2314,5037,923874691.2559999,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,61,Barbados,BRB,52,2024,Exports,0.965264769213104,1630,5037,488641831.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,62,Switzerland,CHE,757,2024,Exports,0.9645505440175262,4786,5037,440834767933.728,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,63,North Macedonia,MKD,807,2024,Exports,0.9637386289091223,3568,5037,8413033233.21,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,64,"China, Macao SAR",MAC,446,2024,Exports,0.9636844900229005,940,5037,959915111.8460002,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,65,Brazil,BRA,76,2024,Exports,0.9634663547149755,4495,5037,309859621309.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,66,Kyrgyzstan,KGZ,417,2024,Exports,0.9631463726755267,2552,5037,3685343515.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,67,Argentina,ARG,32,2024,Exports,0.962127227927231,1289,5037,54871851873.14001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,68,New Zealand,NZL,554,2024,Exports,0.9620070926059228,4252,5037,42045166653.341,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,69,Ukraine,UKR,804,2024,Exports,0.9590691002493581,4029,5037,41587217109.350006,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,70,Singapore,SGP,702,2024,Exports,0.9586894422951162,4704,5037,470216803889.966,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,71,Mauritius,MUS,480,2024,Exports,0.9584591980723303,2617,5037,1719829164.4129999,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,72,Kenya,KEN,404,2024,Exports,0.9580760419552175,3841,5037,8255120905.655001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,73,Jordan,JOR,400,2024,Exports,0.9570971635097703,2878,5037,13250440376.034,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,74,Pakistan,PAK,586,2024,Exports,0.9570217434362795,3562,5037,32434332508.33,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,75,Philippines,PHL,608,2024,Exports,0.9567691472848843,3371,5037,72694507295.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,76,Rep. of Moldova,MDA,498,2024,Exports,0.956074721772048,2868,5037,3553923851.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,77,Togo,TGO,768,2024,Exports,0.9545784652978186,1057,5037,1372307203.722,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,78,Panama,PAN,591,2024,Exports,0.9545206603329599,2171,5037,1158357714.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,79,Sri Lanka,LKA,144,2024,Exports,0.9534117571153089,3482,5037,12109626421.002,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,80,Cambodia,KHM,116,2024,Exports,0.9486948990904978,2344,5037,26662107525.473,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,81,Guatemala,GTM,320,2024,Exports,0.9485735150172854,3961,5037,14695977371.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,82,French Polynesia,PYF,258,2024,Exports,0.9485019091053459,80,5037,95570841.14700001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,83,El Salvador,SLV,222,2024,Exports,0.9464936999951601,2914,5037,6311202862.09,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,84,Luxembourg,LUX,442,2024,Exports,0.94637736379623,3962,5037,15301244097.161001,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,85,Lebanon,LBN,422,2024,Exports,0.9459285205513384,3101,5037,4264251067.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,86,Indonesia,IDN,360,2024,Exports,0.9451053445865503,4477,5037,266304975038.585,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,87,Grenada,GRD,308,2024,Exports,0.9435431565430197,748,5037,43127763.067,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,88,Malaysia,MYS,458,2024,Exports,0.9435381613091023,4703,5037,328729274734.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,89,Maldives,MDV,462,2024,Exports,0.9434468789477775,97,5037,92418497.34699999,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,90,Israel,ISR,376,2024,Exports,0.9433038402488299,3529,5037,52071885000.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,91,Slovenia,SVN,705,2024,Exports,0.9381834475462616,4580,5037,66482043683.704,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,92,Tunisia,TUN,788,2024,Exports,0.9377646811608256,3329,5037,19975662776.652,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,93,Greece,GRC,300,2024,Exports,0.9364833837273501,4498,5037,52737269112.649,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,94,South Africa,ZAF,710,2024,Exports,0.9350159145957628,4892,5037,109670728181.42299,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,95,Egypt,EGY,818,2024,Exports,0.9340112916308019,3440,5037,44768217053.403,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,96,Rep. of Korea,KOR,410,2024,Exports,0.9327334803735168,4723,5037,683089471519.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,97,Bosnia Herzegovina,BIH,70,2024,Exports,0.9321089122025437,3607,5037,8893798188.846,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,98,Slovakia,SVK,703,2024,Exports,0.9317427251792927,4498,5037,115322054684.55202,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,99,Mexico,MEX,484,2024,Exports,0.9297591544237536,3455,5037,547592557142.99994,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,100,Central African Rep.,CAF,140,2024,Exports,0.9295966733306626,87,5037,204503822.28,harmonized_hs6_family,lt_hgl_weighted_hs1992
gini,101,Canada,CAN,124,2024,Exports,0.9289155170009877,4795,5037,529357830205.096,harmonized_hs6_family,lt_hgl_weighted_hs1992
