reporter_code,year,total_imports,import_products,weighted_mean_top_supplier_share,weighted_mean_source_hhi,median_top_supplier_share,median_source_hhi,share_products_top_supplier_ge_50,share_products_top_supplier_ge_75,share_products_top_supplier_ge_90,import_value_share_products_top_supplier_ge_50,import_value_share_products_top_supplier_ge_75,import_value_share_products_top_supplier_ge_90,country,iso3
36,1988,33025740133.0,4848,0.5109077937102776,0.3782727806646771,0.5025687212628848,0.34381974242983726,0.5051567656765676,0.22586633663366337,0.12417491749174918,0.43919974249135474,0.19895510006858202,0.07297208102815299,Australia,AUS
36,1989,39839624977.0,4869,0.5177781583262618,0.38042666736283415,0.4999203578236171,0.3445998562521986,0.49989730950913946,0.21585541178886836,0.11829944547134935,0.46370811873016593,0.1812339692998712,0.07419346549337374,Australia,AUS
36,1990,38632769854.0,4839,0.513070588671439,0.38186386589927296,0.5007066542191795,0.3461017129581951,0.5015499070055797,0.22463318867534615,0.12254598057449886,0.4230967336479399,0.2049626455707045,0.10160547224116726,Australia,AUS
36,1991,38438777372.0,4817,0.5281591618152885,0.3957537308611027,0.5049948937673248,0.3494857291990632,0.5090305169192444,0.22565912393605977,0.12559684450903053,0.43656738521095334,0.2363026358537739,0.08287465751500438,Australia,AUS
36,1992,40570634351.0,4826,0.515159333871368,0.3796459261227698,0.5084257189177716,0.35175446032323054,0.5140903439701616,0.226067136344799,0.12287608785743888,0.44675723303185777,0.19543389135606568,0.08250098177026653,Australia,AUS
36,1993,42322310430.0,4848,0.5049553677922871,0.37019944933222754,0.5078644605396643,0.3498471209021068,0.5125825082508251,0.23246699669966997,0.12293729372937294,0.42132654930294644,0.18362847231258778,0.06748194136810504,Australia,AUS
36,1994,49918035761.0,4860,0.4889339197330441,0.3514860620704379,0.5024162823839113,0.34334611091717254,0.5041152263374485,0.22078189300411522,0.12119341563786008,0.4192583513542629,0.13612606314347242,0.05928190456388098,Australia,AUS
36,1995,57380832838.0,4856,0.47711062828753154,0.33754516248542904,0.5020002533258965,0.3417025008301973,0.5041186161449753,0.22549423393739704,0.11367380560131796,0.3885774764710988,0.1409866378698238,0.05915149514442466,Australia,AUS
36,1996,61351822767.0,4949,0.46686524256629836,0.32724965197500855,0.49842215156097586,0.3365853081087027,0.4970701151747828,0.2155991109315013,0.1157809658516872,0.3555542232680541,0.12228225941210853,0.04201017361437443,Australia,AUS
36,1997,61778543647.0,4954,0.4617858550698509,0.319392746328995,0.49308327767771215,0.3377243760105423,0.48889786031489707,0.20771094065401696,0.1104158255954784,0.3432507091485921,0.10468348847705558,0.0308998515877559,Australia,AUS
36,1998,60740581554.0,4936,0.4748054566675577,0.329247770857683,0.4989243426009848,0.3385652317578502,0.49817666126418153,0.2157617504051864,0.11487034035656402,0.3990778514270529,0.1253234693552042,0.04091919429171687,Australia,AUS
36,1999,65112565262.0,4893,0.46840261559775004,0.3279358424368617,0.4964461114449717,0.3348227927079653,0.4951972205191089,0.21622726343756388,0.11301859799713877,0.3919609026968335,0.12276234649696668,0.05398132844032318,Australia,AUS
36,2000,71555125510.0,4893,0.4622519446266289,0.3181363894549539,0.4978538964205598,0.3372211712639032,0.49560596770897203,0.21602288984263232,0.10831800531371347,0.3892017648562154,0.10317938359241934,0.03741923880247834,Australia,AUS
36,2001,64319977347.0,4893,0.4561576512956977,0.3122329749992892,0.5084125246332385,0.3427809610432312,0.510525240138974,0.2176578786020846,0.10423053341508277,0.378536033099763,0.10916682436187923,0.02969041372165644,Australia,AUS
36,2002,73025896790.0,4965,0.46828311677348455,0.3242043596938791,0.49979224704307873,0.3382078784660942,0.499496475327291,0.21289023162134946,0.11037260825780464,0.3682400010688044,0.1253889071206023,0.03803331863197787,Australia,AUS
36,2003,89065101597.0,4960,0.46677771622729874,0.32156242322010214,0.49751956035368355,0.33472773175388115,0.4949596774193548,0.21754032258064515,0.10947580645161291,0.4044368436358839,0.10586100114343308,0.03462046609402691,Australia,AUS
36,2004,109482715252.0,4985,0.4634340186778765,0.32080788536748434,0.4996305065019023,0.3348597369737464,0.4992978936810431,0.2164493480441324,0.1127382146439318,0.3937748545491289,0.11640141875059312,0.026953670049264626,Australia,AUS
36,2005,125221245325.0,4959,0.46872876095955723,0.3230629619821783,0.4926564234663576,0.3337397905165349,0.4904214559386973,0.2260536398467433,0.10969953619681387,0.41818340394308007,0.10306535244481685,0.030394294563369454,Australia,AUS
36,2006,139354165052.0,4913,0.46348766514369083,0.31782392188332503,0.5052815370794331,0.3413744098646859,0.5068186444127825,0.2243028699369021,0.114593934459597,0.4054887736933775,0.12395137897424544,0.039841693758691975,Australia,AUS
36,2007,165471525472.0,4779,0.4591966183260787,0.31659595863179896,0.5063783934095728,0.34263304742501166,0.5103578154425612,0.22619794936179116,0.11069261351747227,0.37713679693223007,0.10092875080085005,0.03800484873794274,Australia,AUS
36,2008,200617274660.0,4747,0.4822164092048084,0.33831833438636083,0.5151754274951797,0.3502968380040076,0.5253844533389509,0.2296187065515062,0.11017484727196124,0.4383111709598578,0.13083386944859815,0.05553222150924418,Australia,AUS
36,2009,165601136279.0,4734,0.4912207510034799,0.3565450658959502,0.5196093435655631,0.35802659630177114,0.5325306294888044,0.23637515842839038,0.11406844106463879,0.4169887235535639,0.1836909250293442,0.08264299744865641,Australia,AUS
36,2010,201703333771.0,4729,0.49710684936341937,0.3535970520014492,0.5280881570116933,0.3660271938001414,0.5432438147599915,0.24635229435398603,0.11292027912877987,0.454012357961167,0.1630334043478659,0.06489162608417857,Australia,AUS
36,2011,234205823082.0,4727,0.48966091125261135,0.3547162486424657,0.5287333127231997,0.3647979176934037,0.5428390099428814,0.24053310767928918,0.1193145758409139,0.42461003877423653,0.1937493112761443,0.0885285347313532,Australia,AUS
