country,iso3,reporter_code,year,flow,variant,world_relative_product_gini,world_weighted_share_gini,world_weighted_product_coverage,weighted_mean_relative_export_intensity,world_weighted_mean_country_share,country_total_exports,world_total_exports,leave_one_out_world_exports,country_active_products,world_benchmark_products,zero_weight_country_export_share,missing_benchmark_product_count,negative_leave_one_out_product_count,metric_valid,invalid_reason,active_product_gini,active_product_count,active_product_total_exports,world_relative_minus_active_product_gini,sample_window
China,CHN,156,2024,Exports,world_relative,0.6807714339840358,0.7803977865140472,0.9906620387061216,1.0,0.003977861029480823,3479639306679.0,20562489519169.527,17082850212490.527,4593,5632,0.0,0,0,True,,0.8498748708596133,5227.0,3479639306679.0,-0.1691034368755775,balanced_2000_2024
Belgium,BEL,56,2024,Exports,world_relative,0.6680281488160924,0.8558436274090168,0.9982636436046302,0.9999999999999998,0.008369145947175317,361569942857.322,20562489519169.527,20200919576312.207,4658,5632,0.0,0,0,True,,0.8995614438273105,5365.0,361569942857.3219,-0.2315332950112181,balanced_2000_2024
Sweden,SWE,752,2024,Exports,world_relative,0.6607562267663628,0.852278316956369,0.9926432567838044,0.9999999763409313,0.007453148020728882,187984660379.217,20562489519169.527,20374504858790.312,4481,5631,2.365906872948079e-08,0,0,True,,0.9050556161250444,5115.0,187984660379.21695,-0.24429938935868156,balanced_2000_2024
Austria,AUT,40,2024,Exports,world_relative,0.6592253736751424,0.8036263716443814,0.935154944612063,1.0,0.004283851683503206,196833236914.601,20562489519169.527,20365656282254.93,4401,5632,0.0,0,0,True,,0.8815677137703399,5022.0,196833236914.60095,-0.2223423400951975,balanced_2000_2024
Czech Republic,CZE,203,2024,Exports,world_relative,0.6563342030041858,0.8855676664785493,0.9842329104694005,1.0,0.008879268931682123,258705155452.0,20562489519169.527,20303784363717.53,4531,5632,0.0,0,0,True,,0.907533293923838,5152.0,258705155452.0,-0.2511990909196522,balanced_2000_2024
United Kingdom,GBR,826,2024,Exports,world_relative,0.6525136570755773,0.8343071739646892,0.9941488695957685,1.0,0.008126803661399052,494267654806.127,20562489519169.527,20068221864363.402,4597,5632,0.0,0,0,True,,0.911060005666716,5276.0,494267654806.12695,-0.2585463485911387,balanced_2000_2024
Poland,POL,616,2024,Exports,world_relative,0.643366735144502,0.7588909316553022,0.9834855817523724,1.0,0.003119224132167005,378603002972.0,20562489519169.527,20183886516197.53,4557,5632,0.0,0,0,True,,0.8711648496283213,5211.0,379704654454.0,-0.22779811448381926,balanced_2000_2024
Italy,ITA,380,2024,Exports,world_relative,0.6371356547201993,0.7909065520414386,0.9847449323461541,1.0,0.004260515507692015,628773462492.474,20562489519169.527,19933716056677.055,4601,5632,0.0,0,0,True,,0.8483810347823186,5306.0,628773462492.474,-0.21124538006211935,balanced_2000_2024
France,FRA,251,2024,Exports,world_relative,0.6105222663443572,0.7912431868282509,0.9980694316857052,0.9999999999999999,0.004533250090960473,644263935532.759,20562489519169.527,19918225583636.77,4711,5632,0.0,0,0,True,,0.8690349694673405,5472.0,644263935532.759,-0.25851270312298325,balanced_2000_2024
Spain,ESP,724,2024,Exports,world_relative,0.6003119648634753,0.8572703564407567,0.9964580236344691,1.0,0.007786136876113347,383468213566.261,20562489519169.527,20179021305603.266,4674,5632,0.0,0,0,True,,0.8586953867085407,5397.0,383468213566.261,-0.25838342184506546,balanced_2000_2024
Netherlands,NLD,528,2024,Exports,world_relative,0.5987401640471988,0.8331624758690972,0.9987466967055552,1.0,0.006198298468279835,678012277815.214,20562489519169.527,19884477241354.312,4688,5632,0.0,0,0,True,,0.8680824179173119,5432.0,678150400088.062,-0.2693422538701131,balanced_2000_2024
Germany,DEU,276,2024,Exports,world_relative,0.5404089220269085,0.854852147092642,0.9935246132481559,1.0,0.0071771979254472516,1572581059596.584,20562489519169.527,18989908459572.945,4610,5632,0.0,0,0,True,,0.8558191578119312,5361.0,1572581059596.584,-0.3154102357850227,balanced_2000_2024
United States,USA,842,2024,Exports,world_relative,0.4789609961641845,0.7867078233796833,0.9984323470773366,1.0,0.008771460392573554,1861265103937.0,20562489519169.527,18701224415232.53,4738,5632,0.0,0,0,True,,0.8880914462857219,5517.0,1861265103937.0,-0.40913045012153737,balanced_2000_2024
