year,countries,median_world_relative_product_gini,mean_world_relative_product_gini,median_world_weighted_share_gini,median_active_product_gini,median_world_relative_minus_active_product_gini
2000,55,0.8353633828113487,0.8214852731797702,0.887277490367446,0.9261647272919752,-0.09520911944666488
2001,55,0.8351329991477922,0.8187662176764887,0.8918237916640827,0.9292997775157672,-0.09412254612509019
2002,55,0.8308106967791451,0.8197226889725014,0.8943344032466253,0.9304290654858398,-0.09082508166503844
2003,55,0.8321898957376572,0.817670664295703,0.890566894529481,0.9306289606641432,-0.09085962308369
2004,55,0.8370645667998562,0.8155523621976438,0.8913979923352754,0.930329975718432,-0.08932111631162509
2005,55,0.8291549744029348,0.8127375876406331,0.8824897300019106,0.932364849808319,-0.09367322095148212
2006,55,0.8299524486268555,0.8111272682815633,0.8812489476051749,0.9315777810148878,-0.10758974506331298
2007,55,0.8206055341316755,0.8154137357214858,0.8904949504134181,0.9303915255523972,-0.10632596011587125
2008,55,0.823197789514741,0.8139195048159795,0.8829249896105821,0.9344366877608536,-0.09971816383098331
2009,55,0.8129008038457001,0.8126135461729941,0.8855267949272346,0.934885365694478,-0.10938654544021553
2010,55,0.8196733163222818,0.8155119150619322,0.8849672174780757,0.9351328940879036,-0.10455027712516807
2011,55,0.8314482387809145,0.8165592464345667,0.8882913827406419,0.9356496366392136,-0.09774913270159336
2012,55,0.8333462333065715,0.8147945084589475,0.8877843512739507,0.9365450051660312,-0.09615969452128847
2013,55,0.8232848496814391,0.8141168484678334,0.8932074995513954,0.9357938121792576,-0.10319063905727066
2014,55,0.8186694446473655,0.8111028687322063,0.8874631655569887,0.9326774019343153,-0.11020148507367733
2015,55,0.8165245394997913,0.8078276406289465,0.8888645636545619,0.9314401041733928,-0.11040137044364506
2016,55,0.8192443233979315,0.8073671421260205,0.8831848429371998,0.9330311231735426,-0.10669794621484152
2017,55,0.845050252593172,0.8146764028864575,0.8970858619445754,0.934430464762054,-0.10097767167739369
2018,55,0.8208646535642397,0.8121086026212049,0.8945064044721254,0.93422672375673,-0.11454592266964492
2019,55,0.8231422176328665,0.8104455654508339,0.8909333960866407,0.9333325429522572,-0.11394694513273507
2020,55,0.8325126942501107,0.811898516972926,0.8983881908237268,0.9332888359178324,-0.10077614166772175
2021,55,0.8330903942534217,0.8161889667847226,0.9027223919999041,0.9429658487172304,-0.10320316897240811
2022,55,0.8443376084663027,0.8150803771758673,0.8954403797335602,0.9429199187990238,-0.11597863772244243
2023,55,0.8315544834872132,0.8086481669064806,0.8940130570806584,0.9368677897411748,-0.11308385159627432
2024,55,0.830135654379881,0.8067533724047201,0.9007726022790521,0.9391579788403824,-0.1099518578530112
