country,iso3,reporter_code,metric,start_year,end_year,start_metric,end_metric,delta_metric,metric_change_direction,main_driver_bucket,main_driver_bucket_label,main_driver_group,delta_top5_contribution,delta_rank6_50_contribution,delta_rank51_200_contribution,delta_rank201_plus_contribution
Cabo Verde,CPV,132,gini,2000,2024,0.8858836650535172,0.8819340672055552,-0.003949597847962005,decrease,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.025951454631010965,-0.05741339809512358,0.013735564071686662,0.06567969080648595
Cambodia,KHM,116,gini,2000,2024,0.9415228911249024,0.8906992085120878,-0.05082368261281456,decrease,top5,Top 5,top-5 superstar concentration,-0.23871150628947518,-0.06608691519862037,0.11430984205918826,0.13966489681609268
Cameroon,CMR,120,gini,2000,2023,0.9044736662261772,0.9129992834291654,0.008525617202988167,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,0.03996713290731199,-0.06919462305244822,0.011045702128675783,0.026707405219448282
Canada,CAN,124,gini,2000,2024,0.8382073956982656,0.8444777473951255,0.006270351696859855,increase,top5,Top 5,top-5 superstar concentration,-0.05667779001094243,-0.013590380200892566,0.03899402706114283,0.03754449484755212
Central African Rep.,CAF,140,gini,2000,2024,0.8796690833305232,0.8829653536433232,0.003296270312799998,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.02018648206652557,-0.049203932949202445,0.030259900409988993,0.042426784918538976
Chile,CHL,152,gini,2000,2024,0.8243389954533373,0.8563794119430858,0.032040416489748424,increase,rank51_200,Ranks 51-200,middle-tail change,0.006503657446175787,-0.00543026200681318,0.025669888930171414,0.005297132120214321
China,CHN,156,gini,2000,2024,0.8588443949573894,0.9141924519042418,0.05534805694685241,increase,top5,Top 5,top-5 superstar concentration,0.16035000924822496,0.013289055146004036,-0.04256972534725906,-0.0757212821001175
"China, Hong Kong SAR",HKG,344,gini,2000,2024,0.8645928581228627,0.9522817168353017,0.08768885871243903,increase,top5,Top 5,top-5 superstar concentration,0.2475710018857913,0.0887307150350608,-0.09588161565071723,-0.1527312425576957
"China, Macao SAR",MAC,446,gini,2000,2024,0.8655018079719324,0.917187541991382,0.051685734019449536,increase,top5,Top 5,top-5 superstar concentration,0.17153343550542258,-0.06743396512697358,-0.04498126364396024,-0.007432472715039509
Colombia,COL,170,gini,2000,2024,0.8366019911983259,0.8505781281624496,0.013976136964123698,increase,top5,Top 5,top-5 superstar concentration,0.046148271110721464,-0.023865692800315558,-0.012946427376025166,0.004639986029743026
Comoros,COM,174,gini,2000,2023,0.9289309829429911,0.9427930467002811,0.013862063757289933,increase,top5,Top 5,top-5 superstar concentration,-0.10761126717324698,0.04562909222071149,0.03981178459835846,0.036032454111467146
Costa Rica,CRI,188,gini,2000,2024,0.8556982111530709,0.8616563436090198,0.005958132455948895,increase,top5,Top 5,top-5 superstar concentration,-0.08157869671559544,0.027703124579340432,0.03429416510191924,0.02553953949028459
Croatia,HRV,191,gini,2000,2024,0.8165061471745467,0.8385129929589487,0.02200684578440193,increase,top5,Top 5,top-5 superstar concentration,-0.05239291069524135,0.01057731805235454,0.0282017482407525,0.035620690186536075
Cyprus,CYP,196,gini,2000,2024,0.8627593485108487,0.8859472887242351,0.023187940213386438,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.060503351059520954,0.07609438705447588,0.015924807863767487,-0.008327903645336004
