flow,cmd_code,product_id
Exports,050690,HS1992:050690
Exports,050710,HS1992:050710
Exports,050790,HS1992:050790
Exports,050800,HS1992:050800
Exports,050900,HS1992:050900
Exports,051000,HS1992:051000
Exports,051110,HS1992:051110
Exports,051191,HS1992:051191
Exports,051199,HS1992:051199
Exports,060110,HS1992:060110
Exports,060120,HS1992:060120
Exports,060210,HS1992:060210
Exports,060220,HS1992:060220
Exports,060230,HS1992:060230
Exports,060240,HS1992:060240
Exports,060291,HS1992:060291
Exports,060299,HS1992:060299
Exports,060310,HS1992:060310
Exports,060390,HS1992:060390
Exports,060410,HS1992:060410
Exports,060491,HS1992:060491
Exports,060499,HS1992:060499
Exports,070110,HS1992:070110
Exports,070190,HS1992:070190
Exports,070200,HS1992:070200
Exports,070310,HS1992:070310
Exports,070320,HS1992:070320
Exports,070390,HS1992:070390
Exports,070410,HS1992:070410
Exports,070420,HS1992:070420
Exports,070490,HS1992:070490
Exports,070511,HS1992:070511
Exports,070519,HS1992:070519
Exports,070521,HS1992:070521
Exports,070529,HS1992:070529
Exports,070610,HS1992:070610
Exports,070690,HS1992:070690
Exports,070700,HS1992:070700
Exports,070810,HS1992:070810
Exports,070820,HS1992:070820
Exports,070890,HS1992:070890
Exports,070910,HS1992:070910
Exports,070920,HS1992:070920
Exports,070930,HS1992:070930
Exports,070940,HS1992:070940
Exports,070951,HS1992:070951
Exports,070952,HS1992:070952
Exports,070960,HS1992:070960
Exports,070970,HS1992:070970
Exports,070990,HS1992:070990
Exports,071010,HS1992:071010
Exports,071021,HS1992:071021
Exports,071022,HS1992:071022
Exports,071029,HS1992:071029
Exports,071030,HS1992:071030
Exports,071040,HS1992:071040
Exports,071080,HS1992:071080
Exports,071090,HS1992:071090
Exports,071110,HS1992:071110
Exports,071120,HS1992:071120
Exports,071130,HS1992:071130
Exports,071140,HS1992:071140
Exports,071190,HS1992:071190
Exports,071210,HS1992:071210
Exports,071220,HS1992:071220
Exports,071230,HS1992:071230
Exports,071290,HS1992:071290
Exports,071310,HS1992:071310
Exports,071320,HS1992:071320
Exports,071331,HS1992:071331
Exports,071332,HS1992:071332
Exports,071333,HS1992:071333
Exports,071339,HS1992:071339
Exports,071340,HS1992:071340
Exports,071350,HS1992:071350
Exports,071390,HS1992:071390
Exports,071410,HS1992:071410
Exports,071420,HS1992:071420
Exports,071490,HS1992:071490
Exports,080110,HS1992:080110
Exports,080120,HS1992:080120
Exports,080130,HS1992:080130
Exports,080211,HS1992:080211
Exports,080212,HS1992:080212
Exports,080221,HS1992:080221
Exports,080222,HS1992:080222
Exports,080231,HS1992:080231
Exports,080232,HS1992:080232
Exports,080240,HS1992:080240
Exports,080250,HS1992:080250
Exports,080290,HS1992:080290
Exports,080300,HS1992:080300
Exports,080410,HS1992:080410
Exports,080420,HS1992:080420
Exports,080430,HS1992:080430
Exports,080440,HS1992:080440
Exports,080450,HS1992:080450
Exports,080510,HS1992:080510
Exports,080520,HS1992:080520
Exports,080530,HS1992:080530
Exports,080540,HS1992:080540
Exports,080590,HS1992:080590
Exports,080610,HS1992:080610
Exports,080620,HS1992:080620
Exports,080710,HS1992:080710
Exports,080720,HS1992:080720
Exports,080810,HS1992:080810
Exports,080820,HS1992:080820
Exports,080910,HS1992:080910
Exports,080920,HS1992:080920
Exports,080930,HS1992:080930
Exports,080940,HS1992:080940
Exports,081010,HS1992:081010
Exports,081020,HS1992:081020
Exports,081030,HS1992:081030
Exports,081040,HS1992:081040
Exports,081090,HS1992:081090
Exports,081110,HS1992:081110
Exports,081120,HS1992:081120
Exports,081190,HS1992:081190
Exports,081210,HS1992:081210
Exports,081220,HS1992:081220
Exports,081290,HS1992:081290
Exports,081310,HS1992:081310
Exports,081320,HS1992:081320
Exports,081330,HS1992:081330
Exports,081340,HS1992:081340
Exports,081350,HS1992:081350
Exports,081400,HS1992:081400
Exports,090111,HS1992:090111
Exports,090112,HS1992:090112
Exports,090121,HS1992:090121
Exports,090122,HS1992:090122
Exports,090130,HS1992:090130
Exports,090140,HS1992:090140
Exports,090210,HS1992:090210
Exports,090220,HS1992:090220
Exports,090230,HS1992:090230
Exports,090240,HS1992:090240
Exports,090300,HS1992:090300
Exports,090411,HS1992:090411
Exports,090412,HS1992:090412
Exports,090420,HS1992:090420
Exports,090500,HS1992:090500
Exports,090610,HS1992:090610
Exports,090620,HS1992:090620
Exports,090700,HS1992:090700
Exports,090810,HS1992:090810
Exports,090820,HS1992:090820
Exports,090830,HS1992:090830
Exports,090910,HS1992:090910
Exports,090920,HS1992:090920
Exports,090930,HS1992:090930
Exports,090940,HS1992:090940
Exports,090950,HS1992:090950
Exports,091010,HS1992:091010
Exports,091020,HS1992:091020
Exports,091030,HS1992:091030
Exports,091040,HS1992:091040
Exports,091050,HS1992:091050
Exports,091091,HS1992:091091
Exports,091099,HS1992:091099
Exports,100110,HS1992:100110
Exports,100190,HS1992:100190
Exports,100200,HS1992:100200
Exports,100300,HS1992:100300
Exports,100400,HS1992:100400
Exports,100510,HS1992:100510
Exports,100590,HS1992:100590
Exports,100610,HS1992:100610
Exports,100620,HS1992:100620
Exports,100630,HS1992:100630
Exports,100640,HS1992:100640
Exports,100700,HS1992:100700
Exports,100810,HS1992:100810
Exports,100820,HS1992:100820
Exports,100830,HS1992:100830
Exports,100890,HS1992:100890
Exports,110100,HS1992:110100
Exports,110210,HS1992:110210
Exports,110220,HS1992:110220
Exports,110230,HS1992:110230
Exports,110290,HS1992:110290
Exports,110311,HS1992:110311
Exports,110312,HS1992:110312
Exports,110313,HS1992:110313
Exports,110314,HS1992:110314
Exports,110319,HS1992:110319
Exports,110321,HS1992:110321
Exports,110329,HS1992:110329
Exports,110411,HS1992:110411
Exports,110412,HS1992:110412
Exports,110419,HS1992:110419
Exports,110421,HS1992:110421
Exports,110422,HS1992:110422
Exports,110423,HS1992:110423
Exports,110429,HS1992:110429
Exports,110430,HS1992:110430
Exports,110510,HS1992:110510
Exports,110520,HS1992:110520
Exports,110610,HS1992:110610
Exports,110620,HS1992:110620
Exports,110630,HS1992:110630
Exports,110710,HS1992:110710
Exports,110720,HS1992:110720
Exports,110811,HS1992:110811
Exports,110812,HS1992:110812
Exports,110813,HS1992:110813
Exports,110814,HS1992:110814
Exports,110819,HS1992:110819
Exports,110820,HS1992:110820
Exports,110900,HS1992:110900
Exports,120100,HS1992:120100
Exports,120210,HS1992:120210
Exports,120220,HS1992:120220
Exports,120300,HS1992:120300
Exports,120400,HS1992:120400
Exports,120500,HS1992:120500
Exports,120600,HS1992:120600
Exports,120720,HS1992:120720
Exports,120740,HS1992:120740
Exports,120750,HS1992:120750
Exports,120791,HS1992:120791
Exports,120810,HS1992:120810
Exports,120890,HS1992:120890
Exports,120911,HS1992:120911
Exports,120919,HS1992:120919
Exports,120921,HS1992:120921
Exports,120922,HS1992:120922
Exports,120923,HS1992:120923
Exports,120924,HS1992:120924
Exports,120925,HS1992:120925
Exports,120926,HS1992:120926
Exports,120929,HS1992:120929
Exports,120930,HS1992:120930
Exports,120991,HS1992:120991
Exports,120999,HS1992:120999
Exports,121010,HS1992:121010
Exports,121020,HS1992:121020
Exports,121110,HS1992:121110
Exports,121120,HS1992:121120
Exports,121190,HS1992:121190
Exports,121210,HS1992:121210
Exports,121220,HS1992:121220
Exports,121230,HS1992:121230
Exports,121291,HS1992:121291
Exports,121292,HS1992:121292
Exports,121299,HS1992:121299
Exports,121300,HS1992:121300
Exports,121410,HS1992:121410
Exports,121490,HS1992:121490
Exports,130110,HS1992:130110
Exports,130120,HS1992:130120
Exports,130190,HS1992:130190
Exports,130211,HS1992:130211
Exports,130212,HS1992:130212
Exports,130213,HS1992:130213
Exports,130214,HS1992:130214
Exports,130219,HS1992:130219
Exports,130220,HS1992:130220
Exports,130231,HS1992:130231
Exports,130232,HS1992:130232
Exports,130239,HS1992:130239
Exports,140110,HS1992:140110
Exports,140120,HS1992:140120
Exports,140190,HS1992:140190
Exports,140210,HS1992:140210
Exports,140291,HS1992:140291
Exports,140299,HS1992:140299
Exports,140310,HS1992:140310
Exports,140390,HS1992:140390
Exports,140410,HS1992:140410
Exports,140420,HS1992:140420
Exports,140490,HS1992:140490
Exports,150100,HS1992:150100
Exports,150200,HS1992:150200
Exports,150300,HS1992:150300
Exports,150410,HS1992:150410
Exports,150420,HS1992:150420
Exports,150430,HS1992:150430
Exports,150510,HS1992:150510
Exports,150590,HS1992:150590
Exports,150600,HS1992:150600
Exports,150710,HS1992:150710
Exports,150790,HS1992:150790
Exports,150810,HS1992:150810
Exports,150890,HS1992:150890
Exports,150910,HS1992:150910
Exports,150990,HS1992:150990
Exports,151000,HS1992:151000
Exports,151110,HS1992:151110
Exports,151190,HS1992:151190
Exports,151211,HS1992:151211
Exports,151219,HS1992:151219
Exports,151221,HS1992:151221
Exports,151229,HS1992:151229
Exports,151311,HS1992:151311
Exports,151319,HS1992:151319
Exports,151321,HS1992:151321
Exports,151329,HS1992:151329
Exports,151410,HS1992:151410
Exports,151490,HS1992:151490
Exports,151511,HS1992:151511
Exports,151519,HS1992:151519
Exports,151521,HS1992:151521
Exports,151529,HS1992:151529
Exports,151530,HS1992:151530
Exports,151540,HS1992:151540
Exports,151550,HS1992:151550
Exports,151560,HS1992:151560
Exports,151590,HS1992:151590
Exports,151610,HS1992:151610
Exports,151620,HS1992:151620
Exports,151710,HS1992:151710
Exports,151790,HS1992:151790
Exports,151800,HS1992:151800
Exports,151911,HS1992:151911
Exports,151912,HS1992:151912
Exports,151913,HS1992:151913
Exports,151919,HS1992:151919
Exports,151920,HS1992:151920
Exports,151930,HS1992:151930
Exports,152010,HS1992:152010
Exports,152090,HS1992:152090
Exports,152110,HS1992:152110
Exports,152190,HS1992:152190
Exports,152200,HS1992:152200
Exports,160100,HS1992:160100
Exports,160210,HS1992:160210
Exports,160220,HS1992:160220
Exports,160231,HS1992:160231
Exports,160239,HS1992:160239
Exports,160241,HS1992:160241
Exports,160242,HS1992:160242
Exports,160249,HS1992:160249
Exports,160250,HS1992:160250
Exports,160290,HS1992:160290
Exports,160300,HS1992:160300
Exports,160411,HS1992:160411
Exports,160412,HS1992:160412
Exports,160413,HS1992:160413
Exports,160414,HS1992:160414
Exports,160415,HS1992:160415
Exports,160416,HS1992:160416
Exports,160419,HS1992:160419
Exports,160420,HS1992:160420
Exports,160430,HS1992:160430
Exports,160510,HS1992:160510
Exports,160520,HS1992:160520
Exports,160530,HS1992:160530
Exports,160540,HS1992:160540
Exports,160590,HS1992:160590
Exports,170111,HS1992:170111
Exports,170112,HS1992:170112
Exports,170191,HS1992:170191
Exports,170199,HS1992:170199
Exports,170210,HS1992:170210
Exports,170220,HS1992:170220
Exports,170230,HS1992:170230
Exports,170240,HS1992:170240
Exports,170250,HS1992:170250
Exports,170260,HS1992:170260
Exports,170290,HS1992:170290
Exports,170310,HS1992:170310
Exports,170390,HS1992:170390
Exports,170410,HS1992:170410
Exports,170490,HS1992:170490
Exports,180100,HS1992:180100
Exports,180200,HS1992:180200
Exports,180310,HS1992:180310
Exports,180320,HS1992:180320
Exports,180400,HS1992:180400
Exports,180500,HS1992:180500
Exports,180610,HS1992:180610
Exports,180620,HS1992:180620
Exports,180631,HS1992:180631
Exports,180632,HS1992:180632
Exports,180690,HS1992:180690
Exports,190110,HS1992:190110
Exports,190120,HS1992:190120
Exports,190190,HS1992:190190
Exports,190211,HS1992:190211
Exports,190219,HS1992:190219
Exports,190220,HS1992:190220
