reporter_code,iso3,country,year,total_imports,import_products,weighted_supplier_hhi,top_supplier_component,residual_component,equal_weight_supplier_hhi,weighted_top_supplier_share,median_top_supplier_share,median_source_hhi,share_products_top_supplier_ge_75,import_value_share_products_top_supplier_ge_75,top_supplier_component_share,product_weight_amplification,product_weight_amplification_pct,residual_component_share,product_gini,partner_gini,product_partner_cell_gini
699,IND,India,1988,19350896422.0,3487,0.3846696061459795,0.31083037736246577,0.0738392287835137,0.49259789087826233,0.5107836858019021,0.5458465737160978,0.404106275883511,0.30800114711786636,0.16505808719893317,0.8080450661976859,-0.10792828473228283,-0.21910017629156997,0.19195493380231402,0.908970403780692,0.8174609444838723,0.9303670905644864
699,IND,India,1989,21718194790.0,3411,0.3733233237557518,0.29469415305541763,0.07862917070033415,0.46852888276667587,0.48504690996926086,0.5332857408168808,0.3826899330219688,0.2717678100263852,0.18488586776322952,0.7893805029128649,-0.09520555901092409,-0.20320104589653612,0.2106194970871351,0.909262037945971,0.8291044389147029,0.933433807448695
699,IND,India,1990,23799150319.0,3385,0.38540056683646506,0.31846295778207234,0.06693760905439272,0.47258728504210346,0.5040314345350138,0.5330610456876337,0.3857469146786221,0.269423929098966,0.1830641087014683,0.8263167861847074,-0.08718671820563839,-0.18448807440486006,0.1736832138152926,0.911913651085567,0.831457156477011,0.9341978444563456
699,IND,India,1991,19509416559.0,3391,0.39923127717291695,0.3282767464045622,0.07095453076835469,0.5041601681727962,0.5065366964262787,0.5661364763506364,0.421860846041996,0.31347685048658214,0.20773022620865758,0.8222721143723853,-0.10492889099987923,-0.20812610282198224,0.1777278856276146,0.9237899066144322,0.821836360392393,0.9417388308548428
699,IND,India,1992,24452408029.0,3549,0.3849512043841476,0.3165925430508007,0.06835866133334689,0.4902146741087998,0.5019091852403508,0.5464616775943929,0.4043782385667834,0.3045928430543815,0.18704047775482177,0.8224225289989457,-0.10526346972465223,-0.214729332441994,0.17757747100105428,0.9253183035645008,0.8202720761836302,0.9431335366070464
699,IND,India,1993,23304073503.0,3712,0.39174536959725353,0.31990517443820504,0.07184019515904845,0.4801187901537157,0.49926349715221285,0.5380776489939842,0.3863432664135364,0.2860991379310345,0.2051687510076079,0.8166150751624554,-0.08837342055646219,-0.1840657403309885,0.18338492483754457,0.9223474028136118,0.8501002040353502,0.9415144438783014
699,IND,India,1994,28654736709.0,3863,0.34546416270113023,0.27622493834968315,0.06923922435144705,0.4597486191185294,0.46669615735117653,0.5154267137893497,0.366632756998399,0.27129174216929847,0.18510711279137443,0.7995762460277315,-0.11428445641739915,-0.24858031468700306,0.20042375397226847,0.9103082047865264,0.8331525780952316,0.9324214132005276
699,IND,India,1995,36592061493.0,3988,0.35803446251657006,0.2956210577297861,0.06241340478678396,0.44232613826550127,0.48275345523725877,0.5018078232385259,0.3485182175697151,0.24598796389167502,0.2095214367320259,0.825677661451667,-0.0842916757489312,-0.19056453701665732,0.17432233854833298,0.9075736939766714,0.8314991688045876,0.9319986277154292
699,IND,India,1996,39112814392.0,4106,0.3731771959517817,0.31116933506357536,0.06200786088820634,0.4512843418372467,0.49494284681185047,0.5167587808059777,0.35965624520537576,0.25937652216268875,0.23441296486900987,0.8338380223634608,-0.07810714588546497,-0.1730774561498832,0.16616197763653914,0.9160286952203044,0.8444469985403313,0.9383299401734422
699,IND,India,1997,41429430769.0,4278,0.3547417113364635,0.29426233928707524,0.06047937204938828,0.4243516903580186,0.48663079213932997,0.47785604353374517,0.33146159942315656,0.2267414679756896,0.16909238642597677,0.829511528764022,-0.06960997902155514,-0.1640384157839134,0.17048847123597805,0.913800272832486,0.8345682283558458,0.9392135828925816
