reporter_code,iso3,country,year,total_imports,import_products,weighted_supplier_hhi,top_supplier_component,residual_component,equal_weight_supplier_hhi,weighted_top_supplier_share,median_top_supplier_share,median_source_hhi,share_products_top_supplier_ge_75,import_value_share_products_top_supplier_ge_75,top_supplier_component_share,product_weight_amplification,product_weight_amplification_pct,residual_component_share,product_gini,partner_gini,product_partner_cell_gini
442,LUX,Luxembourg,2025,27466321628.794,5108,0.4386549585305577,0.3735898844847779,0.06506507404577976,0.4727629729881578,0.5621838629264604,0.5469171858091997,0.39564131079992515,0.2793657008613939,0.2700586006050746,0.8516714041857862,-0.03410801445760009,-0.07214612058557822,0.14832859581421368,0.8987243161941212,0.942688292452814,0.9615772861388244
124,CAN,Canada,2025,571105331573.359,5525,0.42142004392002635,0.3659066662970195,0.05551337762300684,0.47949957625457257,0.5643472619271496,0.5758482930920998,0.4086346496479219,0.28868778280542984,0.23393358998774966,0.8682706757214859,-0.05807953233454621,-0.12112530481927065,0.1317293242785142,0.8590103224872885,0.9339248470800126,0.9704347538435568
484,MEX,Mexico,2025,663605567587.0,4160,0.4007219915869908,0.35040591457565134,0.05031607701133943,0.6140683745432115,0.5441079027017997,0.7171583893154561,0.563141503503827,0.465625,0.23037745703355203,0.874436447043819,-0.21334638295622071,-0.3474309894479148,0.125563552956181,0.8978856771390098,0.9479084200694632,0.9391095333977816
76,BRA,Brazil,2025,293884011160.0,4917,0.37659757081611933,0.3095831564373268,0.0670144143787925,0.5083293443821635,0.5066477173572276,0.6049221682029604,0.4532484417303162,0.34431563961765305,0.18026936215715697,0.8220529828868346,-0.13173177356604415,-0.25914650614190754,0.1779470171131654,0.8752327003333655,0.9040717427418988,0.9511122141586664
392,JPN,Japan,2025,723703023207.774,5161,0.37465374906272597,0.307330559100967,0.06732318996175897,0.4837702560193822,0.5135429723631071,0.5759823317734872,0.4199608333067414,0.28870373958535167,0.15553354297931984,0.8203055751338886,-0.10911650695665626,-0.22555439405163535,0.1796944248661114,0.8945368315190538,0.908900776262918,0.9575800524635424
372,IRL,Ireland,2024,144552206720.719,5384,0.36684358046475746,0.29647048318775304,0.07037309727700437,0.4474823322587793,0.5035462667744249,0.5304451232695442,0.37049140094985267,0.25204309063893016,0.16772388207210906,0.8081659295009386,-0.08063875179402186,-0.18020544271988914,0.19183407049906137,0.9114036200090592,0.931588689549603,0.973287840551668
554,NZL,New Zealand,2025,48095359530.648,4925,0.36492915093568146,0.2960222216093309,0.06890692932635062,0.48577803834320754,0.5038194623678598,0.5794380254250853,0.4225737866383161,0.30233502538071066,0.12240121451479426,0.8111772404323617,-0.12084888740752608,-0.24877387997961534,0.18882275956763844,0.8694841962046067,0.9250342289254764,0.9475103480477236
36,AUS,Australia,2025,309962574599.166,5120,0.3485338465474104,0.29279575870162605,0.05573808784578433,0.4696499422635593,0.4927859674459387,0.5669354843061376,0.40623855082826804,0.2896484375,0.17877704742847073,0.84007840731129,-0.1211160957161489,-0.2578858950400566,0.15992159268871003,0.884884650132757,0.911428928422222,0.9543302007940696
56,BEL,Belgium,2024,356485297669.358,5485,0.3419789218943191,0.2764375767445272,0.06554134514979192,0.39773901605236334,0.4741931265668919,0.477396220862165,0.3224399746311052,0.18596171376481313,0.15895096128998243,0.8083468279660639,-0.05576009415804423,-0.1401926688296108,0.19165317203393603,0.8799705073651871,0.9230400480172194,0.9614033222710112
410,KOR,Korea,2024,631727134467.0,5386,0.33336170947490906,0.26632070320212026,0.06704100627278883,0.5062051931429158,0.4741137382957321,0.6062870648429857,0.4500866077633252,0.32621611585592275,0.1496551158891824,0.7988941010100179,-0.17284348366800673,-0.34144944779183295,0.20110589898998213,0.903070337050506,0.9113807656921868,0.9729286517214972
792,TUR,Turkey,2025,365369912607.0,5225,0.32553291884297514,0.24549002686612081,0.08004289197685431,0.4405816575094245,0.4596856460527894,0.5224365144918985,0.3675694692560233,0.24822966507177033,0.07832897605277993,0.7541173646544053,-0.11504873866644938,-0.2611292065965964,0.24588263534559465,0.8949187669183543,0.8810435679074842,0.96463884492217
