country,iso3,reporter_code,year,population,population_quartile,is_bottom_population_quartile,world_relative_product_gini,world_relative_import_product_gini,active_product_gini,driver_rank,product_id,country_product_imports,country_share,leave_one_out_product_imports,leave_one_out_world_weight,world_weight_percentile,relative_intensity,loo_gini_contribution,positive_loo_gini_contribution,driver_bucket,representative_classification_code,representative_cmd_code,product_description,product_label
Azerbaijan,AZE,31,2000,8048600.0,2,False,0.8663345656081294,0.8663345656081294,0.8998107720995752,14,HS1992:300339,7067529.0,0.006030117303478029,244547687.486,4.075445639296437e-05,0.47647409172126265,147.96215769225756,0.0007363269526080574,0.0007363269526080574,overweight_niche_product,H0,300339,Containing hormones or other products of heading No. 29.37 but not containing antibiotics :-- Other,300339 - Containing hormones or other products of heading No. 29.37 but not containing antibiotics :-- Other
Azerbaijan,AZE,31,2000,8048600.0,2,False,0.8663345656081294,0.8663345656081294,0.8998107720995752,15,HS1992:847193,755649.314,0.0006447308534160528,63524524244.28848,0.010586513738126737,0.9986102838991463,0.060901149270140814,0.0006983622201990336,0.0006983622201990336,underweight_large_world_product,H0,847193,Computer data storage units,847193 - Computer data storage units
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,1,HS1992:854219,109960839.0362,0.0015425473365794841,76636667702.65033,0.012922679213846077,0.9990073456422474,0.1193674555448775,0.005249561136727643,0.005249561136727643,underweight_large_world_product,H0,854219,"Monolithic digital integrated circuits :-- Other, including circuits obtained by a combination of bipolar and MOS technologies (BIMOS technology)","854219 - Monolithic digital integrated circuits :-- Other, including circuits obtained by a combination of bipolar and MOS technologies (BIMOS technology)"
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,2,HS1992:880330,1160490352.0,0.016279534762502757,22331851328.541,0.0037656563055397233,0.9946396664681358,4.323160012918239,0.0038085774224726476,0.0038085774224726476,overweight_large_world_product,H0,880330,Other parts of aeroplanes or helicopters,880330 - Other parts of aeroplanes or helicopters
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,3,HS1992:271121,46110.0,6.468380772018708e-07,40535322288.129,0.006835174107410215,0.9976176295413937,9.463373822484119e-05,0.0037969223454009104,0.0037969223454009104,underweight_large_world_product,H0,271121,In gaseous state :-- Natural gas,271121 - In gaseous state :-- Natural gas
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,4,HS1992:710813,544642195.0,0.007640323361023777,3469759200.734,0.0005850800464648307,0.946793726424459,13.058594985742758,0.003400842457318254,0.003400842457318254,overweight_large_world_product,H0,710813,Non-monetary :-- Other semi-manufactured forms,710813 - Non-monetary :-- Other semi-manufactured forms
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,5,HS1992:854211,566441150.9638,0.00794612242327996,124460332434.07767,0.020986833054050004,0.9994044073853484,0.37862417844632973,0.002677497341200763,0.002677497341200763,underweight_large_world_product,H0,854211,"Monolithic integrated circuits, digital","854211 - Monolithic integrated circuits, digital"
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,6,HS1992:854290,514188.0,7.213107292133496e-06,27304969533.392,0.004604236755086135,0.9958308516974389,0.001566623889217998,0.0025425458324412897,0.0025425458324412897,underweight_large_world_product,H0,854290,Parts,854290 - Parts
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,7,HS1992:870332,72433562.0,0.001016108999543754,40245737515.948,0.006786343551120509,0.9974190986698431,0.14972849398052973,0.00249276767115697,0.00249276767115697,underweight_large_world_product,H0,870332,"Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc","870332 - Other vehicles, with compression-ignition internal combustion piston engine (diesel or semi-diesel) :-- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc"
Australia,AUS,36,2000,19028802.0,3,False,0.4481662828416728,0.4481662828416728,0.8482172737253861,8,HS1992:710231,4944644.0,6.936421638273188e-05,26944404819.924,0.004543437371871068,0.9954337899543378,0.015266902722633209,0.00242529077042275,0.00242529077042275,underweight_large_world_product,H0,710231,"Non-industrial :-- Unworked or simply sawn, cleaved or bruted","710231 - Non-industrial :-- Unworked or simply sawn, cleaved or bruted"
