model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,turning_point_log_gni_pc,turning_point_gni_pc_current_usd
mechanical_variant_common_sample,rd2_countries,Exports,product,standard_hs6,product_gini,log_gni_pc,-0.030988851574940766,0.018025409108034525,-1.7191760469463078,0.09131044692703626,-0.06712762095675553,0.005149917806874009,1375,55,0.5966322708662701,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",17.22843863557064,30353993.1117224
mechanical_variant_common_sample,rd2_countries,Exports,product,standard_hs6,product_gini,log_gni_pc_sq,0.000899351712318252,0.0010821921255767786,0.8310462542304328,0.4096070908294249,-0.0012703128660908403,0.003069016290727344,1375,55,0.5966322708662701,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",17.22843863557064,30353993.1117224
mechanical_variant_common_sample,rd2_countries,Exports,product,standard_hs6,product_gini,log_population,-0.014067814791967764,0.0019099657321898654,-7.365480204630872,1.0504544056879282e-09,-0.01789706552958416,-0.010238564054351366,1375,55,0.5966322708662701,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",17.22843863557064,30353993.1117224
mechanical_variant_common_sample,rd2_countries,Exports,product,standard_hs6,product_gini,oil_export_share,0.07224969971956552,0.01538497802279253,4.696119787271003,1.8605710555597016e-05,0.041404675932440335,0.1030947235066907,1375,55,0.5966322708662701,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",17.22843863557064,30353993.1117224
mechanical_variant_common_sample,rd2_countries,Exports,product,harmonized_world_relative_hs6_family,world_relative_product_gini,log_gni_pc,-0.08055355761884661,0.05446113129638799,-1.4791018052941023,0.1449233495211388,-0.18974155176626528,0.02863443652857206,1375,55,0.6926581353949071,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",36.097220702091654,4751423736717047.0
mechanical_variant_common_sample,rd2_countries,Exports,product,harmonized_world_relative_hs6_family,world_relative_product_gini,log_gni_pc_sq,0.001115786147133745,0.0032789970249114003,0.3402827567871593,0.7349638065554139,-0.005458207074141379,0.007689779368408869,1375,55,0.6926581353949071,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",36.097220702091654,4751423736717047.0
mechanical_variant_common_sample,rd2_countries,Exports,product,harmonized_world_relative_hs6_family,world_relative_product_gini,log_population,-0.04415692516666335,0.005597638155552251,-7.8884922425477715,1.493166484035691e-10,-0.05537951396750125,-0.03293433636582545,1375,55,0.6926581353949071,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",36.097220702091654,4751423736717047.0
mechanical_variant_common_sample,rd2_countries,Exports,product,harmonized_world_relative_hs6_family,world_relative_product_gini,oil_export_share,0.07665607728863023,0.05221030522750114,1.4682173749915675,0.14784641735885118,-0.028019282291963432,0.1813314368692239,1375,55,0.6926581353949071,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",36.097220702091654,4751423736717047.0
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs6_excluding_section16,product_gini_no_section16,log_gni_pc,-0.0407717143749787,0.01838548821326414,-2.21760303028364,0.030810251478514312,-0.07763239889697762,-0.0039110298529797805,1375,55,0.5850811806539705,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.833113053411806,374412.36657117284
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs6_excluding_section16,product_gini_no_section16,log_gni_pc_sq,0.0015885356189603251,0.0011004086009283286,1.4435870617697844,0.1546318694237467,-0.0006176507935848779,0.003794722031505528,1375,55,0.5850811806539705,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.833113053411806,374412.36657117284
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs6_excluding_section16,product_gini_no_section16,log_population,-0.013607595649649728,0.0021996869252142825,-6.186151080715336,8.564125468671686e-08,-0.018017702406509913,-0.009197488892789542,1375,55,0.5850811806539705,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.833113053411806,374412.36657117284
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs6_excluding_section16,product_gini_no_section16,oil_export_share,0.07404763741297506,0.014983604308498245,4.941910897298421,7.87105309446509e-06,0.044007319472461594,0.10408795535348853,1375,55,0.5850811806539705,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.833113053411806,374412.36657117284
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs4,product_gini_hs4,log_gni_pc,-0.05120296192372267,0.02285817797180357,-2.240028141651687,0.029226631186001908,-0.09703084950510812,-0.005375074342337215,1375,55,0.5922259750839995,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",14.014843683141379,1220588.5069441323
mechanical_variant_common_sample,rd2_countries,Exports,product,native_hs4,product_gini_hs4,log_gni_pc_sq,0.001826740386170533,0.0013654098301425265,1.3378696607009568,0.18654606619808148,-0.0009107415021705912,0.004564222274511657,1375,55,0.5922259750839995,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",14.014843683141379,1220588.5069441323
