metric,flow,horizon,concentration_bucket,observations,countries,mean_annualized_trade_growth_log,median_annualized_trade_growth_log,mean_annualized_product_active_count_growth_log,median_base_trade_value,product_id_mode,harmonization_method
theil,Exports,5,high_product_high_partner,746,75,0.05346760938227672,0.05776314989910567,0.00880866059997427,3796435911.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,5,high_product_low_partner,706,76,0.07187901250980848,0.061779933670736045,0.056070604018388336,629974049.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,5,low_product_high_partner,734,69,0.060930876072207395,0.05227921773576369,0.003007122741516672,49804122441.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,5,low_product_low_partner,756,68,0.06583388391893803,0.05981207460063445,0.0036584979141315675,28562405710.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,5,high_product_high_partner,690,82,0.059538652144947884,0.05446924884310392,0.008150936846539641,3966434362.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,5,high_product_low_partner,775,82,0.08868522970980629,0.08119336752372205,0.012708506368411103,3670948433.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,5,low_product_high_partner,795,89,0.06116435937482812,0.05303210709592392,0.000509929416487848,29306648480.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,5,low_product_low_partner,684,71,0.06235337714334953,0.051594986363896214,0.0013332710072238433,34642162526.599,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,10,high_product_high_partner,543,72,0.04531864662421923,0.035901168264030045,0.0131879365958816,3364160906.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,10,high_product_low_partner,529,72,0.06522581410534875,0.05534773787924081,0.04943061235498856,533902344.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,10,low_product_high_partner,554,64,0.052183390302107516,0.04391074094106031,0.004091900896018096,40197444888.81,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Exports,10,low_product_low_partner,555,60,0.055466787950697254,0.047926620451247716,0.0031465833964251797,27351875366.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,10,high_product_high_partner,508,81,0.05400051892896161,0.04509433968465935,0.007939185766089388,3365482283.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,10,high_product_low_partner,577,80,0.07892139800570977,0.06777267055759637,0.011696394043688807,3247832200.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,10,low_product_high_partner,592,82,0.050728669060447595,0.041376296934630824,0.0003530823484490332,23948031834.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
theil,Imports,10,low_product_low_partner,507,68,0.05410877379506401,0.041071283122699496,0.0011687572223697095,31835727373.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,1,high_product_high_partner,1262,88,0.05134379619231831,0.060521308043473,0.027231816568371245,1486026647.21,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,1,high_product_low_partner,502,64,0.06315494682283378,0.06640338340797491,0.027627487871960933,5163863265.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,1,low_product_high_partner,512,58,0.07402141377035168,0.0697588108514644,0.013534124633705511,9556793397.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,1,low_product_low_partner,1287,77,0.0667600681693466,0.07350100883636301,0.004627046316883482,59781758412.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,1,high_product_high_partner,938,92,0.06714000041210227,0.06370126352022965,0.01504125002179205,3397650620.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,1,high_product_low_partner,846,77,0.0752562662081754,0.08216957757365684,0.0060964063839043705,10508060080.414,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,1,low_product_high_partner,844,87,0.06155381208224578,0.0702531435121152,-0.00019896410030277584,10843408055.77,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,1,low_product_low_partner,938,79,0.07197178090465195,0.08747461067005702,0.0021965738380744604,51237879723.22099,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,5,high_product_high_partner,1046,86,0.06067539774290221,0.05533210580171151,0.032210884972019696,1371699676.5149999,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,5,high_product_low_partner,407,58,0.06327620280040835,0.0624192092413665,0.022737666344892892,4720687765.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,5,low_product_high_partner,416,49,0.06391765921401035,0.053576882284852446,0.009044793097675356,7721376015.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,5,low_product_low_partner,1073,75,0.06460155815372824,0.0575248394279896,0.004119953353385565,58106921592.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,5,high_product_high_partner,773,88,0.066643192237486,0.05986523268636148,0.011582770135446917,3149298868.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,5,high_product_low_partner,695,73,0.0779999959266735,0.07330451608314448,0.005755418993612804,10258743642.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,5,low_product_high_partner,699,79,0.06229439311520587,0.05482408349779462,0.001437871295941045,9415951442.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,5,low_product_low_partner,777,76,0.0666912910141695,0.05485830056884069,0.0036448141101103598,44613165222.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,10,high_product_high_partner,772,82,0.051485514290342246,0.03950425579624035,0.031563031097320345,1308831986.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,10,high_product_low_partner,298,56,0.05768486054250667,0.04869511371071553,0.02411777684531533,3533644892.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,10,low_product_high_partner,309,45,0.05674803497197355,0.04862301130421578,0.007157060529519383,6662797897.000001,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Exports,10,low_product_low_partner,802,71,0.05527942398819705,0.04585828877677436,0.00443618600761333,56520178131.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,10,high_product_high_partner,575,80,0.06422088875371415,0.056246291105824395,0.011693350916453224,2550937468.0,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,10,high_product_low_partner,513,69,0.06644619879935768,0.05430772081055082,0.004761283938514056,11077878671.678001,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,10,low_product_high_partner,514,72,0.05219431661274688,0.04386259190842186,0.0013849572367147943,6515832359.5,harmonized_hs6_family,lt_hgl_weighted_hs1992
hhi,Imports,10,low_product_low_partner,582,68,0.05600110121422929,0.04189980683654202,0.0029302868338752608,37003419531.349,harmonized_hs6_family,lt_hgl_weighted_hs1992
