flow,dimension,item_code,item_name,display_label,reporters_evaluated,present_reporter_count,top5_reporter_count,mean_loo_gini_contribution_all_reporters,mean_loo_gini_contribution_present_reporters,mean_loo_gini_contribution_top5_reporters,median_loo_gini_contribution_top5_reporters,mean_loo_gini_contribution_share_all_reporters,mean_loo_gini_contribution_share_present_reporters,mean_loo_gini_contribution_share_top5_reporters,median_loo_gini_contribution_share_top5_reporters,mean_full_gini
Exports,partner,842,USA (USA),USA (USA),33,32,24,0.010275451190731026,0.010596559040441371,0.014828810915140342,0.004998686250651807,0.0111170467969071,0.011464454509310447,0.01605917201295621,0.005687498841141657,0.8953137399501966
Exports,partner,276,Germany (DEU),Germany (DEU),33,32,22,0.0059223016395715256,0.006107373565808136,0.009786232453093542,0.007187050030321496,0.0065974904441464905,0.006803662020526068,0.010904750054740437,0.008389307384050488,0.8953137399501966
Exports,partner,528,Netherlands (NLD),Netherlands (NLD),33,32,15,0.00013970463807183418,0.000144070408011579,0.0023863224224492424,-0.00027494912640624314,0.0001561511349321069,0.00016103085789873528,0.0026685445093735543,-0.00029625924165639953,0.8953137399501966
Exports,partner,156,China (CHN),China (CHN),33,32,14,0.0021752580186954777,0.0022432348317797113,0.007702025623373521,8.056015445645492e-05,0.0024463542933801964,0.0025228028650483274,0.008639564832509947,8.811384843792898e-05,0.8953137399501966
Exports,partner,826,United Kingdom (GBR),United Kingdom (GBR),33,32,12,-0.0008137659290074904,-0.0008391961142889745,0.0004652276839252993,-3.545588344899819e-05,-0.000894096479436574,-0.0009220369944189669,0.0005587605318827707,-2.329275183649506e-05,0.8953137399501966
Exports,partner,251,France (FRA),France (FRA),33,32,10,-0.0003715527155308456,-0.0003831637378911845,0.0025292547986242473,0.0013464361497154131,-0.00040213667910774816,-0.00041470345032986535,0.002879536531558712,0.0015114380378528107,0.8953137399501966
Exports,partner,380,Italy (ITA),Italy (ITA),33,32,7,-0.0008939402309109524,-0.0009218758631269197,0.0015278751756330994,0.0019645462659740875,-0.0009736613359765318,-0.0010040882527257986,0.0018265894838656832,0.0024326357917733256,0.8953137399501966
Exports,partner,616,Poland (POL),Poland (POL),33,32,6,-0.0014598071731615808,-0.0015054261473228803,-0.0012905069554273545,-0.0014154959635165332,-0.0016422199167940796,-0.0016935392891938945,-0.0014165111373266508,-0.001555436831810654,0.8953137399501966
Exports,partner,410,Rep. of Korea (KOR),Rep. of Korea (KOR),33,32,4,-0.0014238621017214576,-0.001468357792400253,-0.001105101902829364,-0.0011656884690851577,-0.0015985454071201352,-0.0016484999510926394,-0.0012039455189126712,-0.0012830613012439894,0.8953137399501966
Exports,partner,392,Japan (JPN),Japan (JPN),33,32,4,-0.00148839897006899,-0.001534911437883646,-0.0008586125445373405,-0.0010265455020284087,-0.0016662224074662367,-0.0017182918576995566,-0.0009113592630698294,-0.0010962117458296246,0.8953137399501966
Exports,partner,56,Belgium (BEL),Belgium (BEL),33,32,4,-0.0012639093027693037,-0.0013034064684808444,0.0024815535445880665,0.002950712701914715,-0.0014272114011481898,-0.0014718117574340707,0.0027597966760271072,0.0032496432402678846,0.8953137399501966
Exports,partner,724,Spain (ESP),Spain (ESP),33,32,4,-0.001518582657030619,-0.001566038365062826,-0.0005775531626019959,-5.4067581454431135e-05,-0.0016913034797867252,-0.0017441567135300603,-0.0006046743019686964,-4.379281085845337e-05,0.8953137399501966
Exports,partner,344,"China, Hong Kong SAR (HKG)","China, Hong Kong SAR (HKG)",33,33,3,-0.0008052722296747472,-0.0008052722296747472,0.001715716340012552,-0.0007132341205691173,-0.000888520000496698,-0.000888520000496698,0.002110101228947282,-0.0007873260020025746,0.8953137399501966
Exports,partner,757,Switzerland (CHE),Switzerland (CHE),33,32,3,-0.0013636131433597913,-0.0014062260540897847,-0.00011858633967317307,-0.00029891146517257994,-0.0015250909317177422,-0.001572750023333922,-0.00011189717224949104,-0.00033730112776461494,0.8953137399501966
Exports,partner,752,Sweden (SWE),Sweden (SWE),33,32,3,-0.0010622952388678424,-0.0010954919650824624,0.0017904245991834749,0.00109472660907306,-0.0011880364967877136,-0.0012251626373123293,0.002069392315780116,0.0012099370023942449,0.8953137399501966
Exports,partner,124,Canada (CAN),Canada (CAN),33,32,2,-0.0011537320090521073,-0.0011897861343349858,0.0053175387816797315,0.0053175387816797315,-0.0012909797565369295,-0.0013313228739287083,0.006102470775080531,0.006102470775080531,0.8953137399501966
Exports,partner,704,Viet Nam (VNM),Viet Nam (VNM),33,33,2,-0.0006654514741649787,-0.0006654514741649787,0.0012111593794569275,0.0012111593794569275,-0.000748654026193664,-0.000748654026193664,0.0013638971287651012,0.0013638971287651012,0.8953137399501966
Exports,partner,203,Czechia (CZE),Czechia (CZE),33,32,2,-0.00108339347946287,-0.0011172495256960846,0.0011895650253773704,0.0011895650253773704,-0.0012321141884186863,-0.0012706177568067704,0.0012990450349417034,0.0012990450349417034,0.8953137399501966
Exports,partner,703,Slovakia (SVK),Slovakia (SVK),33,32,2,-0.0008009524526209403,-0.0008259822167653447,-0.00125055716759781,-0.00125055716759781,-0.0009087792279073487,-0.0009371785787794532,-0.0013886290450237956,-0.0013886290450237956,0.8953137399501966
Exports,partner,484,Mexico (MEX),Mexico (MEX),33,32,1,-0.0009335755973400928,-0.0009627498347569707,0.012617319351257983,0.012617319351257983,-0.0010501517215169476,-0.001082968962814352,0.014321085555143453,0.014321085555143453,0.8953137399501966
Exports,partner,620,Portugal (PRT),Portugal (PRT),33,33,1,-0.0009459115975916963,-0.0009459115975916963,0.003299003917236032,0.003299003917236032,-0.0010637376018283135,-0.0010637376018283135,0.0037413376793064,0.0037413376793064,0.8953137399501966
Exports,partner,784,United Arab Emirates (ARE),United Arab Emirates (ARE),33,33,1,-0.0011721132781051904,-0.0011721132781051904,0.007740838608666589,0.007740838608666589,-0.001298160858292519,-0.001298160858292519,0.009269326487504354,0.009269326487504354,0.8953137399501966
Exports,partner,792,Türkiye (TUR),Türkiye (TUR),33,32,1,-0.001544194811256241,-0.0015924508991079986,0.00017751666055043636,0.00017751666055043636,-0.0017335563703714625,-0.0017877300069455704,0.00020856394526162287,0.00020856394526162287,0.8953137399501966
Exports,partner,112,Belarus (BLR),Belarus (BLR),33,31,1,8.984011086204778e-05,9.563624704669602e-05,-0.0006211041909987003,-0.0006211041909987003,9.432165463038558e-05,0.00010040692267105561,-0.0007297339871736284,-0.0007297339871736284,0.8953137399501966
Exports,partner,579,Norway (NOR),Norway (NOR),33,32,1,-0.0008352461822044736,-0.0008613476253983635,0.0028418848816793574,0.0028418848816793574,-0.0009391128638322891,-0.0009684601408270481,0.003184817957122405,0.003184817957122405,0.8953137399501966
Exports,partner,32,Argentina (ARG),Argentina (ARG),33,33,1,-0.00020657229519018962,-0.00020657229519018962,0.0009991479718454155,0.0009991479718454155,-0.0002325174568450744,-0.0002325174568450744,0.0011387561277213627,0.0011387561277213627,0.8953137399501966
Exports,partner,702,Singapore (SGP),Singapore (SGP),33,33,1,-0.001194764571063664,-0.001194764571063664,-0.00023772218901463305,-0.00023772218901463305,-0.001338512458230898,-0.001338512458230898,-0.00028466225621004475,-0.00028466225621004475,0.8953137399501966
