year,harmonization_status,reporters_with_exports,reporter_year_hs6_rows,harmonized_products,native_hs6_products,trade_value,trade_value_share
2021,ambiguous_oversized_component,163,44229,1188,621,4450914807330.199,0.220007981032725
2021,matched_unchanged_hs6_code,163,296375,3554,3554,11095181789039.346,0.548432996420754
2021,matched_wco_correlation,163,86307,554,1314,4684600428517.701,0.231559022546521
2022,ambiguous_oversized_component,160,48103,1756,747,4514767278358.488,0.2040958799666554
2022,matched_unchanged_hs6_code,160,293362,3554,3554,12256280057157.773,0.5540609535676627
2022,matched_wco_correlation,160,91990,554,1537,5349765463023.008,0.24184305025527045
2022,single_revision_reference,11,11,1,1,2570669.0550000006,1.1621041141992957e-07
2023,ambiguous_oversized_component,158,48662,1646,740,4318430503718.116,0.20250546663602925
2023,matched_unchanged_hs6_code,158,292209,3553,3553,11558820061800.514,0.5420312422213289
2023,matched_wco_correlation,158,92774,554,1512,5447751751404.887,0.2554630691835033
2023,single_revision_reference,12,12,1,1,4733280.193,2.2195913848266627e-07
2024,ambiguous_oversized_component,134,44748,1523,739,4431402608858.032,0.21550905131048473
2024,matched_unchanged_hs6_code,134,267958,3554,3554,11021186659997.893,0.5359850347752522
2024,matched_wco_correlation,134,85314,554,1506,5109890716021.627,0.2485054502402479
2024,single_revision_reference,13,13,1,1,9534292.079000004,4.6367401525537776e-07
