reporter_code,country,iso3,year,top_export_sectors,top_export_value_share,weighted_top_sector_input_product_gini,weighted_top_sector_top_supplier_share,weighted_top_sector_source_hhi,median_top_sector_matched_requirement_share,total_exports
276,Germany,DEU,1998,10,0.8115306348785217,0.6932550164101267,0.15048509262078186,0.07784455090652694,0.09412754816595773,513999732490.0
276,Germany,DEU,1999,10,0.8123497920578162,0.704925076172929,0.18094906386582513,0.08901409208738521,0.09901611502273064,514134933145.0
276,Germany,DEU,2000,10,0.8126941271505829,0.7122736410113774,0.17772191606192136,0.09100167207086744,0.10320951186656974,507702682000.0
276,Germany,DEU,2001,10,0.8059672311389788,0.7166803537836226,0.18136568952194967,0.08802883157876805,0.10535460881511097,546135674000.0
276,Germany,DEU,2002,10,0.8088700483616547,0.712844644298364,0.16857944688534088,0.08590795601028235,0.09606555049433362,591060836000.0
276,Germany,DEU,2003,10,0.8082888295295139,0.7152686997877037,0.1613697609798105,0.08343061020965863,0.09959596910283111,693057612000.0
276,Germany,DEU,2004,10,0.8033618863220725,0.7318589797372649,0.16082931518484042,0.08587794173454459,0.10093406429163312,842693336000.0
276,Germany,DEU,2005,10,0.7996192135022527,0.7263329503169066,0.15976351922847498,0.0844406580878952,0.10659363377569653,935255851000.0
276,Germany,DEU,2006,10,0.7953393218039595,0.7300400480899667,0.15746573327528257,0.08429424300085962,0.11876158020864863,1059683804000.0
276,Germany,DEU,2007,10,0.7950493320717225,0.7181617920024386,0.1455054685716193,0.07533344814591321,0.1262988451642751,1240364389000.0
276,Germany,DEU,2008,10,0.7883425121273963,0.7084501358626546,0.14470816077201495,0.07688179093632748,0.1248058710040881,1361125391830.679
276,Germany,DEU,2009,10,0.7914446469351825,0.7188567919024617,0.15980629121156328,0.08216106370854237,0.1079239789192687,1050990155213.472
276,Germany,DEU,2010,10,0.7920028551723246,0.7335036409022315,0.17053049456683925,0.08344947951752998,0.12920743929315062,1193222441670.286
276,Germany,DEU,2011,10,0.7878540079738259,0.7259988228703855,0.16504010979152714,0.08213560314853414,0.1308333484991162,1421776105032.3699
276,Germany,DEU,2012,10,0.7974535533040382,0.7233420275068769,0.16656470085464173,0.08462348674629584,0.13043777147035232,1331527671816.091
276,Germany,DEU,2013,10,0.8028322089987963,0.7236161857758201,0.17003760327919085,0.09275644093403684,0.12919674862951416,1365525048985.812
276,Germany,DEU,2014,10,0.8058214602453331,0.7250083856931241,0.15118063219943262,0.0779293447227873,0.1277588500127715,1397018235020.502
276,Germany,DEU,2015,10,0.8127714682541849,0.7292571784199939,0.15028163764519778,0.07819257857573672,0.13630745613663162,1238277664711.677
276,Germany,DEU,2016,10,0.8190135079152098,0.7314574001563825,0.1644880743678065,0.08398410831541658,0.13196450208621968,1246983519994.072
276,Germany,DEU,2017,10,0.8136974549770237,0.7343170740170807,0.1605813987929181,0.08215025613438406,0.1354948752200218,1392502006834.649
276,Germany,DEU,2018,10,0.8082823080828995,0.7421643409845011,0.16697270076084103,0.08215778865890394,0.14081086196541975,1497405053472.5781
276,Germany,DEU,2019,10,0.8077219521702703,0.7398132906237095,0.15705257536320605,0.08105835214375325,0.14468659683270593,1420265332485.458
276,Germany,DEU,2020,10,0.806030704999262,0.7442426515110147,0.1661169875583213,0.08124426977346487,0.12900453162341552,1311525666954.51
276,Germany,DEU,2021,10,0.8001054026930199,0.7404745620971024,0.1770952630615762,0.08891781992200404,0.13473178201326624,1561182991800.753
276,Germany,DEU,2022,10,0.7919972539371561,0.7529764074214511,0.1918159665265511,0.091090881640748,0.1501562664458371,1632852134328.954
276,Germany,DEU,2023,10,0.8128827036064303,,,,0.0,1664829556635.516
276,Germany,DEU,2024,10,0.8088586599262161,,,,0.0,1572581059596.584
300,Greece,GRC,1988,10,0.8990563357325944,,,,0.0,5206969014.0
300,Greece,GRC,1989,10,0.9030381531296013,,,,0.0,7543195067.0
300,Greece,GRC,1990,10,0.8981103855856807,,,,0.0,8059650257.0
300,Greece,GRC,1992,10,0.8989145716971925,,,,0.0,9533886092.0
