model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,turning_point_log_gni_pc,turning_point_gni_pc_current_usd
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,world_relative_product_gini,world_relative_product_gini,log_gni_pc,-0.08055355761884661,0.05315614965203641,-1.5154137037041886,0.14272863201895677,-0.19026245842736839,0.029155343189675165,1375,25,0.6926581353949071,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",36.097220702091654,4751423736717047.0
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,world_relative_product_gini,world_relative_product_gini,log_gni_pc_sq,0.001115786147133745,0.003200766593893019,0.34859966023846806,0.7304294451312694,-0.0054902714221090766,0.0077218437163765665,1375,25,0.6926581353949071,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",36.097220702091654,4751423736717047.0
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,world_relative_product_gini,world_relative_product_gini,log_population,-0.04415692516666335,0.0054741607534025995,-8.066428290257374,2.725428094024464e-08,-0.05545503767173154,-0.03285881266159516,1375,25,0.6926581353949071,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",36.097220702091654,4751423736717047.0
quadratic_controls_year_fe_two_way_cluster,rd2_balanced_2000_2024,Exports,product,world_relative_product_gini,world_relative_product_gini,oil_export_share,0.07665607728863023,0.050986291569403513,1.5034644593495199,0.14576541620453357,-0.028574456544208565,0.18188661112146903,1375,25,0.6926581353949071,ok,1375,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=24",36.097220702091654,4751423736717047.0
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_gni_pc,1.1463449226987084,0.32458131063362367,3.531765031267199,0.0008537838663525107,0.4955985756764224,1.7970912697209944,1375,55,0.5613608505707837,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.380845171786287,87627.06336954678
quadratic_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_gni_pc_sq,-0.050362908263639226,0.01817209113454499,-2.7714426419477816,0.007639803836520307,-0.08679575740235429,-0.01393005912492417,1375,55,0.5613608505707837,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",11.380845171786287,87627.06336954678
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_gni_pc,0.9613172764195744,0.289441142806222,3.3212875927012453,0.0016116298019079255,0.3810227240578983,1.5416118287812506,1375,55,0.7267201353064234,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.441187702301894,253010.86268502675
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_gni_pc_sq,-0.038634465592127895,0.015822384727060174,-2.4417599659331657,0.017921911893719368,-0.07035643702115388,-0.006912494163101912,1375,55,0.7267201353064234,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.441187702301894,253010.86268502675
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,log_population,0.1410635218850029,0.025440141736653238,5.544918866617936,9.048425986919528e-07,0.09005910862861828,0.19206793514138754,1375,55,0.7267201353064234,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.441187702301894,253010.86268502675
quadratic_controls_year_fe_country_cluster,rd2_balanced_2000_2024,Exports,product,log_active_product_count,log_active_product_count,oil_export_share,-0.3230653346095645,0.19899243553068352,-1.6235056058688704,0.11030537180996955,-0.7220211471111291,0.0758904778920001,1375,55,0.7267201353064234,ok,1375,0,,year,clustered by reporter_code,reporter_code,"Student t, df=54",12.441187702301894,253010.86268502675
