reporter_code,year,product_active_count_baseline,product_active_count_full_exclusion,product_gini_baseline,product_gini_full_exclusion,product_top_1pct_share_baseline,product_top_1pct_share_full_exclusion,total_trade_value_baseline,total_trade_value_full_exclusion,trade_share_removed_baseline,trade_share_removed_full_exclusion,commodity_gini_delta,commodity_top1_delta,commodity_trade_share_removed
31,1996,771.0,757.0,0.9568558426725629,0.8837513647858684,0.7898756385215484,0.4577422819508453,630664503.0,210004655.0,0.0,0.6670105039985104,0.0731044778866945,0.3321333565707031,0.6670105039985104
31,1997,800.0,785.0,0.9628912962321255,0.9166157165138368,0.7856175376353668,0.5352592356314003,781308980.0,299464447.0,0.0,0.6167144437530976,0.04627557971828877,0.25035830200396647,0.6167144437530976
31,1998,924.0,895.0,0.9667119154293812,0.9176444133570218,0.7770290974959457,0.4723162477622146,606149410.0,186025993.0,0.0,0.6931020802280414,0.049067502072359326,0.30471284973373114,0.6931020802280414
31,1999,1077.0,1051.0,0.9805014533666336,0.9360213844642936,0.8355374794225011,0.5592867592393284,929225537.0,193510982.0,0.0,0.7917502540613022,0.04448006890234002,0.27625072018317276,0.7917502540613022
31,2000,1139.0,1123.0,0.989967272941044,0.9433418938138272,0.9320218443483675,0.5907147319373175,1745251969.0,231376928.0,0.0,0.8674249150782651,0.04662537912721687,0.34130711241105005,0.8674249150782651
31,2001,1063.0,1043.0,0.9924213060634196,0.9314171973359048,0.952450715159298,0.5085505338809251,2303852379.0,187093873.0,0.0,0.9187908588651807,0.06100410872751483,0.44390018127837294,0.9187908588651807
31,2002,967.0,946.0,0.9907288927570692,0.9350524526317944,0.9371502959434636,0.5159161774830447,2149841197.0,220243303.0,0.0,0.8975536875433688,0.05567644012527484,0.4212341184604188,0.8975536875433688
31,2003,975.0,959.0,0.990347870368178,0.9479298750947744,0.9237365699676138,0.5433915402944363,2588603121.0,354789180.0,0.0,0.8629418402837505,0.04241799527340351,0.3803450296731775,0.8629418402837505
31,2004,1045.0,1029.0,0.9907080680765707,0.9534121195569394,0.9262083083786514,0.5780435980000512,3598710128.0,485589843.0,0.0,0.8650655857992461,0.03729594851963136,0.3481647103786002,0.8650655857992461
31,2005,1147.0,1133.0,0.989983213096328,0.9602139843596368,0.9154515512549132,0.6333927708956898,4345233135.0,740361789.0,0.0,0.8296151746067361,0.02976922873669119,0.2820587803592234,0.8296151746067361
31,2006,1204.0,1180.0,0.9910587960272336,0.9572517163064248,0.924388527902229,0.5930778448465608,6359725471.0,894471774.0,0.0,0.8593537129741303,0.033807079720808764,0.33131068305566824,0.8593537129741303
31,2007,1163.0,1142.0,0.989242731233275,0.9560677448036374,0.9047339527993188,0.5856998273170997,6036969402.0,1009596200.0,0.0,0.8327644000207242,0.033174986429637565,0.3190341254822191,0.8327644000207242
31,2008,1034.0,1012.0,0.9972822836719656,0.9542720353580176,0.9829371426066932,0.5904742468158939,47752588281.0,1264653678.0,0.0,0.9735165417514512,0.04301024831394795,0.3924628957907993,0.9735165417514512
31,2009,1054.0,1029.0,0.9950772855102396,0.9540008947361184,0.959425442210866,0.5748845557596693,14672649400.0,850128813.0,0.0,0.9420603062320838,0.041076390774121174,0.38454088645119666,0.9420603062320838
31,2010,998.0,976.0,0.9959007131077884,0.9525713736679222,0.9695655544638024,0.5685288295916245,21265764452.0,976617285.0,0.0,0.9540756088404736,0.043329339439866166,0.4010367248721779,0.9540756088404736
31,2011,1085.0,1064.0,0.996169412341412,0.9582649159462776,0.9700619874085789,0.5997372376784487,26465414148.0,1372143456.0,0.0,0.9481533352047056,0.03790449639513438,0.3703247497301302,0.9481533352047056
31,2012,1034.0,1010.0,0.9953332535569688,0.9570712704806954,0.9597108098476862,0.5545264281970029,23805381701.0,1508657136.0,0.0,0.9366253750958916,0.038261983076273376,0.40518438165068327,0.9366253750958916
31,2013,1056.0,1032.0,0.9953099823239836,0.956218631465512,0.9606321618889077,0.5792537125269843,23772566717.0,1444841350.0,0.0,0.939222324320294,0.039091350858471596,0.38137844936192333,0.939222324320294
31,2014,1058.0,1037.0,0.9952539196560888,0.9558947957357862,0.9619798360157852,0.5904434248343263,21576413935.0,1379849870.0,0.0,0.9360482296012272,0.03935912392030261,0.37153641118145886,0.9360482296012272
31,2015,1179.0,1157.0,0.9939049934359638,0.9597767924127842,0.9520192930056756,0.6346475232030269,12432791395.52,1245149237.11,1.1102230246251563e-16,0.8998495834524599,0.034128201023179594,0.3173717698026487,0.8998495834524599
31,2016,1637.0,1611.0,0.995354264030662,0.9592169422569544,0.9636658081825444,0.6603642972583177,13376226469.32,1061584773.89,0.0,0.9206364533132814,0.03613732177370754,0.30330151092422675,0.9206364533132814
31,2017,1784.0,1761.0,0.9951320514245734,0.9598278123803978,0.9578135479054324,0.6379371684755348,15303819276.69,1308707397.76,1.1102230246251563e-16,0.9144849155561215,0.03530423904417557,0.31987637942989755,0.9144849155561215
31,2018,1725.0,1700.0,0.9954952372212816,0.9577469048184936,0.9650042337885074,0.633030541089747,19477011678.519997,1448713550.7099998,2.220446049250313e-16,0.9256193108767452,0.037748332402788076,0.3319736926987604,0.9256193108767452
31,2019,597.0,588.0,0.990652068969678,0.9371712490403724,0.9269875657722568,0.4512545255242244,2313167512.58,243531259.11,0.0,0.8947195748748967,0.053480819929305534,0.4757330402480324,0.8947195748748967
31,2020,162.0,158.0,0.9809343938238384,0.9586602416556068,0.8878305310079274,0.6825487199386956,262884109.33000004,62595601.64999999,-2.220446049250313e-16,0.7618889867115424,0.022274152168231587,0.20528181106923182,0.7618889867115424
31,2021,131.0,131.0,0.9637888143974948,0.9637888143974948,0.8076115051331402,0.8076115051331402,53992639.66999999,53992639.66999999,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16
31,2022,957.0,942.0,0.9955364114982292,0.9612409786686648,0.9655346380013822,0.6853105935470764,16519993335.71,1197071944.83,-2.220446049250313e-16,0.9275379886357228,0.03429543282956449,0.2802240444543058,0.9275379886357228
31,2023,1129.0,1116.0,0.9939389306702944,0.9517522949885588,0.953448116463355,0.5898691491101219,10756001180.399998,1055334650.98,2.220446049250313e-16,0.9018841079245072,0.04218663568173553,0.36357896735323314,0.9018841079245072
