flow,product_id
Exports,HS1992:080130
Exports,HS1992:080211
Exports,HS1992:080212
Exports,HS1992:080221
Exports,HS1992:080222
Exports,HS1992:080231
Exports,HS1992:080232
Exports,HS1992:080240
Exports,HS1992:080250
Exports,HS1992:080290
Exports,HS1992:080300
Exports,HS1992:080410
Exports,HS1992:080420
Exports,HS1992:080430
Exports,HS1992:080440
Exports,HS1992:080450
Exports,HS1992:080510
Exports,HS1992:080520
Exports,HS1992:080530
Exports,HS1992:080540
Exports,HS1992:080590
Exports,HS1992:080610
Exports,HS1992:080620
Exports,HS1992:080710
Exports,HS1992:080720
Exports,HS1992:080810
Exports,HS1992:080820
Exports,HS1992:080910
Exports,HS1992:080920
Exports,HS1992:080930
Exports,HS1992:080940
Exports,HS1992:081010
Exports,HS1992:081020
Exports,HS1992:081030
Exports,HS1992:081040
Exports,HS1992:081090
Exports,HS1992:081110
Exports,HS1992:081120
Exports,HS1992:081190
Exports,HS1992:081210
Exports,HS1992:081220
Exports,HS1992:081290
Exports,HS1992:081310
Exports,HS1992:081320
Exports,HS1992:081330
Exports,HS1992:081340
Exports,HS1992:081350
Exports,HS1992:081400
Exports,HS1992:090111
Exports,HS1992:090112
Exports,HS1992:090121
Exports,HS1992:090122
Exports,HS1992:090130
Exports,HS1992:090140
Exports,HS1992:090210
Exports,HS1992:090220
Exports,HS1992:090230
Exports,HS1992:090240
Exports,HS1992:090300
Exports,HS1992:090411
Exports,HS1992:090412
Exports,HS1992:090420
Exports,HS1992:090500
Exports,HS1992:090610
Exports,HS1992:090620
Exports,HS1992:090700
Exports,HS1992:090810
Exports,HS1992:090820
Exports,HS1992:090830
Exports,HS1992:090910
Exports,HS1992:090920
Exports,HS1992:090930
Exports,HS1992:090940
Exports,HS1992:090950
Exports,HS1992:091010
Exports,HS1992:091020
Exports,HS1992:091030
Exports,HS1992:091040
Exports,HS1992:091050
Exports,HS1992:091091
Exports,HS1992:091099
Exports,HS1992:100110
Exports,HS1992:100190
Exports,HS1992:100200
Exports,HS1992:100300
Exports,HS1992:100400
Exports,HS1992:100510
Exports,HS1992:100590
Exports,HS1992:100610
Exports,HS1992:100620
Exports,HS1992:100630
Exports,HS1992:100640
Exports,HS1992:100700
Exports,HS1992:100810
Exports,HS1992:100820
Exports,HS1992:100830
Exports,HS1992:100890
Exports,HS1992:110100
Exports,HS1992:110210
Exports,HS1992:110220
Exports,HS1992:110230
Exports,HS1992:110290
Exports,HS1992:110311
Exports,HS1992:110312
Exports,HS1992:110313
Exports,HS1992:110314
Exports,HS1992:110319
Exports,HS1992:110321
Exports,HS1992:110329
Exports,HS1992:110411
