model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,bh_q_value,source_note,source_label,source_matches_country_size_panel
post2001_common_universe_year_fe,rd2_countries,Imports,partner,gini,total_gini,log_gdp_per_capita,0.005231861676920149,0.0020905840122623196,2.5025837977486995,0.01511932281785374,0.0010486127308780221,0.009415110622962276,1366,60,0.11013825797559285,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,gini,old_positive_gini,log_population,7.740449578290044e-05,0.0022422355951432368,0.03452112523347742,0.9725781248667985,-0.004409298566683712,0.004564107558249513,1366,60,0.19429406511326663,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.9725781248667985,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,gini,old_positive_gini,log_gdp_per_capita,0.009630013957188226,0.002400440995881306,4.011768659888526,0.00017209959388222318,0.004826742619056135,0.014433285295320317,1366,60,0.19429406511326663,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,gini,old_universe_gini_with_exits,log_population,-0.0021490822526512607,0.0019234726715547609,-1.1172928445685362,0.26839834924835737,-0.005997942178311429,0.0016997776730089081,1366,60,0.11688195157721948,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.28006784269393814,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,gini,old_universe_gini_with_exits,log_gdp_per_capita,0.004960309672829609,0.002059674417148168,2.4082979482250746,0.019170308774953303,0.0008389106837494789,0.00908170866190974,1366,60,0.11688195157721948,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,entry_share,new_value_share,log_population,-0.002896418864128093,0.0010858422184279615,-2.667439905147003,0.009850707389959648,-0.005069184124535555,-0.0007236536037206311,1366,60,0.08715844521359539,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.019701414779919296,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,entry_share,new_value_share,log_gdp_per_capita,-0.0009972751326380578,0.0009229383865970241,-1.0805435629512838,0.2842973924934369,-0.002844070578478946,0.0008495203132028301,1366,60,0.08715844521359539,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,entry_share,new_active_share,log_population,-0.02549234885455497,0.00656329993171392,-3.884074950068292,0.00026224177456093966,-0.03862548168292157,-0.012359216026188374,1366,60,0.41793004380779863,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.0006993113988291725,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,entry_share,new_active_share,log_gdp_per_capita,-0.03315034395426297,0.005323158092782203,-6.227570809743997,5.403223565063522e-08,-0.04380195869475332,-0.022498729213772627,1366,60,0.41793004380779863,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,exit_share,old_exit_count_share,log_population,-0.016512414881295318,0.004117333797629154,-4.010463006619359,0.00017284809093916058,-0.02475118078039787,-0.008273648982192768,1366,60,0.36157949575324466,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.0005185442728174817,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
