model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,bh_q_value,source_note,source_label,source_matches_country_size_panel
post2001_common_universe_two_way_cluster,rd2_countries,Imports,partner,gini,old_positive_gini,log_gdp_per_capita,0.009630013957188226,0.002351056226356964,4.096037282830211,0.0004771856196763602,0.0047542217682184735,0.014505806146157978,1366,23,0.19429406511326663,ok,1366,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_two_way_cluster,rd2_countries,Imports,partner,gini,old_universe_gini_with_exits,log_population,-0.0021490822526512607,0.001876577461371287,-1.1452137185324842,0.26442661995064476,-0.006040865709624859,0.0017427012043223378,1366,23,0.11688195157721948,ok,1366,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",0.2759234295137163,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_two_way_cluster,rd2_countries,Imports,partner,gini,old_universe_gini_with_exits,log_gdp_per_capita,0.004960309672829609,0.002013467838069802,2.4635653865644946,0.02204915311289042,0.0007846329503657249,0.009135986395293495,1366,23,0.11688195157721948,ok,1366,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_two_way_cluster,rd2_countries,Imports,partner,entry_share,new_value_share,log_population,-0.002896418864128093,0.0010844512804125185,-2.6708612147392303,0.013960717974029918,-0.005145433168029639,-0.0006474045602265464,1366,23,0.08715844521359539,ok,1366,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",0.027921435948059837,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_two_way_cluster,rd2_countries,Imports,partner,entry_share,new_value_share,log_gdp_per_capita,-0.0009972751326380578,0.0009051870075930938,-1.10173381220951,0.2824852783585662,-0.002874518089102002,0.0008799678238258864,1366,23,0.08715844521359539,ok,1366,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_two_way_cluster,rd2_countries,Imports,partner,entry_share,new_active_share,log_population,-0.02549234885455497,0.006567999328952412,-3.881295898156093,0.0008052647121199219,-0.03911354577288102,-0.01187115193622892,1366,23,0.41793004380779863,ok,1366,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",0.002147372565653125,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_two_way_cluster,rd2_countries,Imports,partner,entry_share,new_active_share,log_gdp_per_capita,-0.03315034395426297,0.005638292556741971,-5.87950050846928,6.459192048982516e-06,-0.044843447036653813,-0.021457240871872132,1366,23,0.41793004380779863,ok,1366,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_two_way_cluster,rd2_countries,Imports,partner,exit_share,old_exit_count_share,log_population,-0.016512414881295318,0.0041276132158489486,-4.000475339572029,0.0006024455491975058,-0.02507256076436913,-0.007952268998221502,1366,23,0.36157949575324466,ok,1366,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",0.0018073366475925175,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_two_way_cluster,rd2_countries,Imports,partner,exit_share,old_exit_count_share,log_gdp_per_capita,-0.027996577739816633,0.004502563529701536,-6.217919537422375,2.9399741821863184e-06,-0.037334322980591486,-0.01865883249904178,1366,23,0.36157949575324466,ok,1366,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_two_way_cluster,rd2_countries,Exports,product,gini,total_gini,log_population,-0.013247434646912125,0.002262819971205537,-5.854391783476455,6.851100244185871e-06,-0.017940236042710625,-0.008554633251113624,1365,23,0.44090416391662113,ok,1365,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",6.508874327232156e-05,default_export_aggregate,Main export item universe,True
post2001_common_universe_two_way_cluster,rd2_countries,Exports,product,gini,total_gini,log_gdp_per_capita,-0.014562758342888385,0.002259569760084454,-6.444925312836584,1.7470221360269983e-06,-0.01924881921337787,-0.0098766974723989,1365,23,0.44090416391662113,ok,1365,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",,default_export_aggregate,Main export item universe,True
post2001_common_universe_two_way_cluster,rd2_countries,Exports,product,gini,old_positive_gini,log_population,-0.011022676573870278,0.00441247393766055,-2.498071768717209,0.020453081163308063,-0.02017358743601287,-0.0018717657117276847,1365,23,0.09878106434821998,ok,1365,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",0.037759534455337966,default_export_aggregate,Main export item universe,True
post2001_common_universe_two_way_cluster,rd2_countries,Exports,product,gini,old_positive_gini,log_gdp_per_capita,-0.009603326975517554,0.005842394585545531,-1.6437313219611729,0.11444800444619367,-0.02171971175854867,0.0025130578075135603,1365,23,0.09878106434821998,ok,1365,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",,default_export_aggregate,Main export item universe,True
post2001_common_universe_two_way_cluster,rd2_countries,Exports,product,gini,old_universe_gini_with_exits,log_population,-0.01214302790719781,0.002100404720541968,-5.78128004971563,8.136092909040195e-06,-0.016499000688828258,-0.007787055125567365,1365,23,0.46394368285212684,ok,1365,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",6.508874327232156e-05,default_export_aggregate,Main export item universe,True
post2001_common_universe_two_way_cluster,rd2_countries,Exports,product,gini,old_universe_gini_with_exits,log_gdp_per_capita,-0.013206763347457148,0.0020680124169294833,-6.38621085605768,1.9975833550569033e-06,-0.017495558603018293,-0.008917968091896003,1365,23,0.46394368285212684,ok,1365,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",,default_export_aggregate,Main export item universe,True
post2001_common_universe_two_way_cluster,rd2_countries,Exports,product,entry_share,new_value_share,log_population,-0.01968959692825645,0.009408039809773646,-2.0928479605073202,0.04811240425984808,-0.039200677311514824,-0.000178516544998078,1365,23,0.2249605712956293,ok,1365,0,,year,two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=22",0.07697984681575692,default_export_aggregate,Main export item universe,True
