metric,flow,horizon,concentration_bucket,observations,countries,mean_annualized_trade_growth_log,median_annualized_trade_growth_log,mean_annualized_product_active_count_growth_log,median_base_trade_value
gini,Exports,1,high_product_high_partner,992,89,0.038791619188259636,0.05780327783298489,-0.008790493011048537,5311684358.093
gini,Exports,1,high_product_low_partner,782,81,0.05963875130592359,0.06825800323458253,0.009026848802911172,1671855276.1799998
gini,Exports,1,low_product_high_partner,796,66,0.07331910316891686,0.07292052663854953,0.015951965311208075,48931442045.5
gini,Exports,1,low_product_low_partner,993,91,0.07736523639321664,0.07588052927007638,0.03454546681284339,25412357265.339
gini,Imports,1,high_product_high_partner,831,82,0.053268775469130364,0.058631921240856144,0.013073900368864843,7250665330.86
gini,Imports,1,high_product_low_partner,950,84,0.08648967705303746,0.0857944924542906,0.007367356192282172,4953417181.0
gini,Imports,1,low_product_high_partner,963,95,0.06565906191162843,0.07580200985860586,0.0027127692054005116,31268250844.453
gini,Imports,1,low_product_low_partner,822,73,0.06848076575995711,0.07801436995345412,0.003319993344447439,31673484274.0
gini,Exports,5,high_product_high_partner,814,84,0.052863615960987355,0.05533210580171151,0.0019342634672514542,4876913854.215
gini,Exports,5,high_product_low_partner,642,77,0.06581512916242353,0.06323954849743493,0.01623819852086311,1493208201.0
gini,Exports,5,low_product_high_partner,665,65,0.0632540111179579,0.052359046941696616,0.0063037506080530215,43558007000.0
gini,Exports,5,low_product_low_partner,821,84,0.07058140873354908,0.0575509491744981,0.029335392060566567,24711587508.949997
gini,Imports,5,high_product_high_partner,678,78,0.05927482752246556,0.054908397014895624,0.0061009645097560425,6179474356.744
gini,Imports,5,high_product_low_partner,789,82,0.08681945414750222,0.08017592213151233,0.00989914393254609,4385305315.0
gini,Imports,5,low_product_high_partner,808,91,0.06149011572270285,0.05332763552542659,0.0030447233012363822,30756272061.0
gini,Imports,5,low_product_low_partner,669,71,0.06369788734049897,0.051052751845566034,0.004583505270783879,29645607639.0
gini,Exports,10,high_product_high_partner,602,77,0.04588029297109688,0.0361862896512056,0.007798891406840919,4648802431.5
gini,Exports,10,high_product_low_partner,472,74,0.05999328851955654,0.05934020694567757,0.017873645941131854,1251948883.5
gini,Exports,10,low_product_high_partner,495,63,0.05394976873275548,0.043824005873814895,0.0047701090927232395,37823465599.0
gini,Exports,10,low_product_low_partner,612,77,0.05915161359630237,0.04641448281786946,0.024150140943992076,23450004660.3
gini,Imports,10,high_product_high_partner,499,74,0.054648197626261864,0.04669630866621901,0.005941535728069848,4964715210.212999
gini,Imports,10,high_product_low_partner,586,79,0.07742567541355076,0.06522049642502825,0.008543840740730942,3621942836.0
gini,Imports,10,low_product_high_partner,606,83,0.049945689927381604,0.04004774052313174,0.0024370463470198755,26268804884.0
gini,Imports,10,low_product_low_partner,493,69,0.05567926148111147,0.04154663037478166,0.0047877621812384,24793289644.0
theil,Exports,1,high_product_high_partner,903,77,0.04028772029676799,0.06514128094485727,-0.006077174277023712,4039619273.0
theil,Exports,1,high_product_low_partner,864,78,0.07770914483664183,0.06796436894177305,0.052351870233648054,676995508.5
theil,Exports,1,low_product_high_partner,888,73,0.06235524446766565,0.0656381909864141,0.002668025139733397,55313410850.0
theil,Exports,1,low_product_low_partner,908,70,0.06763491846121213,0.07675206862869288,0.003553640744480995,30879107114.789
theil,Imports,1,high_product_high_partner,848,86,0.055461939352004185,0.05605055763851752,0.013620730046604237,4671131897.5
theil,Imports,1,high_product_low_partner,931,83,0.0871388855687462,0.08798508197807209,0.009159194918858287,4028901907.0
theil,Imports,1,low_product_high_partner,945,89,0.06642780908173077,0.07824216529790107,0.00127855911810957,32353086064.0
theil,Imports,1,low_product_low_partner,842,71,0.06534454284272924,0.07749507778352438,0.0022791008878150034,38966392170.36
theil,Exports,5,high_product_high_partner,746,74,0.0533881115693645,0.05768876454711638,0.0029282220790660834,3618959463.0889997
theil,Exports,5,high_product_low_partner,706,74,0.07248784102306363,0.061779933670736045,0.048707763595829984,620413172.1265001
theil,Exports,5,low_product_high_partner,734,69,0.06122522126643007,0.05244937365150157,0.0021374796720788885,49110036863.0
theil,Exports,5,low_product_low_partner,756,67,0.0652808080365303,0.05861314311251142,0.002823703835809574,29235018706.78
theil,Imports,5,high_product_high_partner,696,81,0.05919734632177839,0.052977196485250386,0.00787221868183584,3903095597.5
theil,Imports,5,high_product_low_partner,770,80,0.08851827457846073,0.0808813472912842,0.012106354101463459,3621942836.0
theil,Imports,5,low_product_high_partner,789,86,0.06152380022405508,0.05384103045743842,0.0011100058534709999,30708895000.0
theil,Imports,5,low_product_low_partner,689,70,0.06253132028330426,0.05166353938145747,0.002607588497639547,35226700097.0
theil,Exports,10,high_product_high_partner,541,72,0.04598301992884435,0.0358658920999666,0.008325806628114623,3364160906.0
theil,Exports,10,high_product_low_partner,530,71,0.06541106048833459,0.056206750905954464,0.042775138107771435,531156458.5
