metric,rank,country,iso3,reporter_code,year,flow,metric_value,active_count,universe_count,total_trade_value
gini,69,Philippines,PHL,608,2024,Exports,0.9567191970111282,3153,6873,72694507295.0
gini,70,Kyrgyzstan,KGZ,417,2024,Exports,0.9549922175355503,2014,6873,3685343515.0
gini,71,Pakistan,PAK,586,2024,Exports,0.952779314967847,3177,6873,32434332508.33
gini,72,Mauritius,MUS,480,2024,Exports,0.952358795773752,2371,6873,1719829164.413
gini,73,Sri Lanka,LKA,144,2024,Exports,0.9521709366582056,3227,6873,12109626421.002
gini,74,Togo,TGO,768,2024,Exports,0.9512680961247884,949,6873,1372307203.722
gini,75,Gambia,GMB,270,2024,Exports,0.9507919716633222,272,6873,49641899.477
gini,76,Jordan,JOR,400,2024,Exports,0.9498968553328995,2389,6873,13250440376.033998
gini,77,Rep. of Moldova,MDA,498,2024,Exports,0.9487923031780616,2393,6873,3553923851.0
gini,78,Indonesia,IDN,360,2024,Exports,0.9478256489638521,4663,6873,266304975038.58502
gini,79,Malaysia,MYS,458,2024,Exports,0.9466378465474807,4979,6873,328729274734.5
gini,80,Panama,PAN,591,2024,Exports,0.9456669483703497,1859,6873,1158357714.0
gini,81,Luxembourg,LUX,442,2024,Exports,0.9451728872814971,3990,6873,15301244097.161
gini,82,Guatemala,GTM,320,2024,Exports,0.9445159628445241,3727,6873,14695977371.0
gini,83,Lebanon,LBN,422,2024,Exports,0.944421692726094,2985,6873,4264251067.0
gini,84,French Polynesia,PYF,258,2024,Exports,0.9424761933939303,72,6873,95570841.14700001
gini,85,El Salvador,SLV,222,2024,Exports,0.9421474598215434,2690,6873,6311202862.09
gini,86,Cambodia,KHM,116,2024,Exports,0.9408193729763707,2013,6873,26662107525.473003
gini,87,Israel,ISR,376,2024,Exports,0.9401753825982282,3379,6873,52071885000.0
gini,88,Rep. of Korea,KOR,410,2024,Exports,0.9391579788403825,5013,6873,683089471519.0
gini,89,Grenada,GRD,308,2024,Exports,0.9381757291752235,671,6873,43127763.067
gini,90,South Africa,ZAF,710,2024,Exports,0.9377748050842616,5353,6873,109670728181.42299
gini,91,Maldives,MDV,462,2024,Exports,0.9376168625459771,89,6873,92418497.34700002
gini,92,Slovenia,SVN,705,2024,Exports,0.9371544744409088,4736,6873,66482043683.703995
gini,93,Greece,GRC,300,2024,Exports,0.9369288048944726,4647,6873,51352691923.705
gini,94,"China, Macao SAR",MAC,446,2024,Exports,0.9346013046155348,467,6873,959915111.846
gini,95,Egypt,EGY,818,2024,Exports,0.9331576952917642,3325,6873,44768217053.403
gini,96,Tunisia,TUN,788,2024,Exports,0.9323122406031228,2923,6873,19975662776.652
gini,97,Slovakia,SVK,703,2024,Exports,0.9312834347046015,4627,6873,115322054684.55199
gini,98,Central African Rep.,CAF,140,2024,Exports,0.9307226788280334,73,6873,204503822.28000003
gini,99,Canada,CAN,124,2024,Exports,0.9296626138016997,5162,6873,529357830205.09607
gini,100,Bosnia Herzegovina,BIH,70,2024,Exports,0.9287591933418458,3400,6873,8893798188.846
gini,101,Finland,FIN,246,2024,Exports,0.9259051124469677,4319,6873,69501886898.84
gini,102,Hungary,HUN,348,2024,Exports,0.924598924408842,4632,6873,148025178761.343
gini,103,Mexico,MEX,484,2024,Exports,0.922286578106837,3130,6873,547592557143.0
gini,104,Thailand,THA,764,2024,Exports,0.9214409669805974,4974,6873,300759403353.17
gini,105,Romania,ROU,642,2024,Exports,0.9206116224072527,4856,6873,99949430292.95001
gini,106,Antigua and Barbuda,ATG,28,2024,Exports,0.9195068434350286,1034,6873,33361871.437999997
gini,107,Serbia,SRB,688,2024,Exports,0.9184959023185462,4367,6873,32492155169.0
gini,108,Japan,JPN,392,2024,Exports,0.916692770224286,4858,6873,647248499603.337
gini,109,United Kingdom,GBR,826,2024,Exports,0.911060005666716,5276,6873,494267654806.12695
gini,110,Bulgaria,BGR,100,2024,Exports,0.9105488890855433,4463,6873,43063306598.276
gini,111,Czechia,CZE,203,2024,Exports,0.9075332939238379,5152,6873,258705155452.0
gini,112,Lithuania,LTU,440,2024,Exports,0.9062737785823087,4625,6873,38760844600.0
gini,113,Estonia,EST,233,2024,Exports,0.9055692738615249,4055,6873,18551126688.43
gini,114,Sweden,SWE,752,2024,Exports,0.9050556161250443,5115,6873,187984660379.21698
gini,115,Croatia,HRV,191,2024,Exports,0.9038379389081974,4524,6873,25955346807.0
gini,116,Latvia,LVA,428,2024,Exports,0.9026175139026003,4323,6873,19068065105.308
gini,117,India,IND,699,2024,Exports,0.8996160831356907,5197,6873,434415330189.367
gini,118,Belgium,BEL,56,2024,Exports,0.8995614438273105,5365,6873,361569942857.32196
gini,119,Portugal,PRT,620,2024,Exports,0.8970505237343753,4925,6873,82538522791.82
gini,120,USA,USA,842,2024,Exports,0.8880914462857219,5517,6873,1861265103937.0
gini,121,Denmark,DNK,208,2024,Exports,0.8845045811309313,5025,6873,113813249913.64801
gini,122,Austria,AUT,40,2024,Exports,0.8815677137703395,5022,6873,196833236914.60098
gini,123,Türkiye,TUR,792,2024,Exports,0.8744100745757559,5148,6873,254982397156.0
gini,124,Poland,POL,616,2024,Exports,0.8712195480640423,5208,6873,378603002972.0
gini,125,France,FRA,251,2024,Exports,0.8690349694673407,5472,6873,644263935532.759
gini,126,Netherlands,NLD,528,2024,Exports,0.8680824179173119,5432,6873,678150400088.062
gini,127,Albania,ALB,8,2024,Exports,0.8668301251538102,642,6873,2401785065.95
gini,128,Spain,ESP,724,2024,Exports,0.8586953867085407,5397,6873,383468213566.261
gini,129,Cabo Verde,CPV,132,2024,Exports,0.8562121231800353,36,6873,68245098.95
gini,130,Germany,DEU,276,2024,Exports,0.8558191578119312,5361,6873,1572581059596.584
gini,131,China,CHN,156,2024,Exports,0.8498748708596133,5227,6873,3479639306679.0
gini,132,Italy,ITA,380,2024,Exports,0.8483810347823186,5306,6873,628773462492.474
gini,1,"China, Hong Kong SAR",HKG,344,2024,Imports,0.9662901723485042,4548,6891,696384751615.173
gini,2,Brunei Darussalam,BRN,96,2024,Imports,0.9541623302619304,3327,6891,7123794550.046
gini,3,Gambia,GMB,270,2024,Imports,0.9478432202200073,2654,6891,988450219.4189999
gini,4,Burkina Faso,BFA,854,2024,Imports,0.9454589081437961,3417,6891,6428761846.702
gini,5,Mauritania,MRT,478,2024,Imports,0.9432039706471962,2733,6891,4811430540.476999
gini,6,Singapore,SGP,702,2024,Imports,0.9424568058433684,5154,6891,452915359725.972
gini,7,China,CHN,156,2024,Imports,0.9408275395793142,5075,6891,2575856182234.0
gini,8,Niger,NER,562,2024,Imports,0.9396981229581942,2995,6891,1501192423.948
gini,9,Uganda,UGA,800,2024,Imports,0.9375632332588208,4404,6891,13832924772.849998
gini,10,Benin,BEN,204,2024,Imports,0.9370119100568297,3392,6891,3363901535.62
