country,iso3,reporter_code,year,flow,dimension,variant,available_metric_row,sample_rule,total_trade_value,active_count,gini,theil_active,hhi,top_1pct_share,top_2pct_share,top_5pct_share,top_10pct_share,top_200_share,source_raw_file,classification_code,universe_count,theil_inactive_margin,theil,theil_decomposition_residual,common_gini_theil_hhi_row,available_year_count_2000_2024,balanced_2000_2024_country,exercise_1_complete_case_row,exercise_2_complete_case_row,exercise_3_complete_case_row,exercise_4_complete_case_row,exercise_6_complete_case_row,exercise_10_complete_case_row,exercise_11_complete_case_row,exercise_12_complete_case_row
Albania,ALB,8,2000,Exports,product,baseline,True,cadot_broad_156,261475785.0,1032,0.9181000463300049,2.9093779117120264,0.07900569321676267,0.5639725911904232,0.6759076218090329,0.8121879852086494,0.8844329007368694,0.9413516284117858,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1,6873,1.8961020250800973,4.805479936792124,2.220446049250313e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2000,Imports,product,baseline,True,cadot_broad_156,1089406327.0,3860,0.8694100206992783,2.1686671491312466,0.00915898292203609,0.41428846135203323,0.5186114335831281,0.6737226256259846,0.7988899893730835,0.6802226585563056,COMTRADE-FINAL-CA0082000H1[2005-01-11].gz,H1,6891,0.5795490288983315,2.748216178029578,-1.1102230246251565e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2001,Exports,product,baseline,True,cadot_broad_156,304930706.0,1066,0.9152587695484724,2.8789295001617328,0.07792429256142555,0.5391261646178722,0.6805346949873916,0.8011356061990031,0.8779550197217594,0.9363240676719516,COMTRADE-FINAL-CA0082001H1[2002-10-23].gz,H1,6873,1.8636873663958153,4.742616866557548,2.220446049250313e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2001,Imports,product,baseline,True,cadot_broad_156,1330534720.0,3880,0.8817603418438176,2.2790606152977,0.009501878294376015,0.43687553903140536,0.5466827239201996,0.7019924793845289,0.818648491187062,0.7072400718712549,COMTRADE-FINAL-CA0082001H1[2002-10-23].gz,H1,6891,0.5743810587398888,2.853441674037589,0.0,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2002,Exports,product,baseline,True,cadot_broad_156,330240762.0,1084,0.9240334829085246,3.0187512798875415,0.08670577845641368,0.5789964746992681,0.690760061291283,0.8156575111100307,0.8936220447553352,0.9464261834521809,COMTRADE-FINAL-CA0082002H1[2005-03-29].gz,H1,6873,1.8469427891220136,4.865694069009555,-2.220446049250313e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2002,Imports,product,baseline,True,cadot_broad_156,1503654624.0,3900,0.8702670173635121,2.1430005158762384,0.008124201379894702,0.40392009927407374,0.5129839264205928,0.6752715715387578,0.7990981072525868,0.679836372451444,COMTRADE-FINAL-CA0082002H1[2005-03-29].gz,H1,6891,0.5692396592394701,2.7122401751157086,1.1102230246251565e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2003,Exports,product,baseline,True,cadot_broad_156,447220559.0,1225,0.9345768465452147,3.1440341201334565,0.08342179321887913,0.6111819917473874,0.7114216634213366,0.837581330870793,0.912879342830033,0.9505898788521482,COMTRADE-FINAL-CA0082003H2[2004-10-25].gz,H2,6873,1.724659848142778,4.868693968276235,2.220446049250313e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2003,Imports,product,baseline,True,cadot_broad_156,1864328821.0,3955,0.87083813948506,2.1105848831892917,0.0071138457002657566,0.39488574746439536,0.5105780226523677,0.673654737218698,0.8025129173283322,0.6756140525277006,COMTRADE-FINAL-CA0082003H2[2004-10-25].gz,H2,6891,0.5552356111554537,2.6658204943447457,2.220446049250313e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2004,Exports,product,baseline,True,cadot_broad_156,602653366.0,1308,0.9308636466774278,2.9727983700810885,0.06185183944834682,0.5606472344833796,0.6865504141231329,0.8291678503625913,0.9055128632601049,0.9419356914369246,COMTRADE-FINAL-CA0082004H2[2005-04-04].gz,H2,6873,1.6591014391044612,4.631899809185549,-2.220446049250313e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2004,Imports,product,baseline,True,cadot_broad_156,2300168296.0,4098,0.8732178458058832,2.107946235479358,0.0067837859152003275,0.38294159585268883,0.5059313242529798,0.6803432238942572,0.8070490138605058,0.6756286323494305,COMTRADE-FINAL-CA0082004H2[2005-04-04].gz,H2,6891,0.5197171625583629,2.6276633980377206,-1.1102230246251565e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2005,Exports,product,baseline,True,cadot_broad_156,658233185.0,1260,0.9326538410680862,2.8997208475773513,0.05155567384215954,0.5534034918035924,0.6866003876726452,0.8239471685098951,0.9081374133393169,0.9493563166372415,COMTRADE-FINAL-CA0082005H2[2006-05-26].gz,H2,6873,1.6964889711760816,4.596209818753433,2.220446049250313e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2005,Imports,product,baseline,True,cadot_broad_156,2614347039.0,4099,0.8793793649149606,2.152498473828965,0.007566084637720319,0.37911796835477435,0.5109008827347195,0.6938569787941608,0.8188434802515138,0.6890867157747682,COMTRADE-FINAL-CA0082005H2[2006-05-26].gz,H2,6891,0.5194731708528704,2.671971644681835,-2.220446049250313e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2006,Exports,product,baseline,True,cadot_broad_156,792629679.0,1297,0.9311286182643954,2.7491525629038907,0.03561437279433331,0.492051122148304,0.6609149655623733,0.8212383326615252,0.9081488923151968,0.9488065359207929,COMTRADE-FINAL-CA0082006H2[2007-03-08].gz,H2,6873,1.6675467868051612,4.416699349709052,4.440892098500626e-16,True,25,True,True,True,True,True,True,True,True,True
Albania,ALB,8,2006,Imports,product,baseline,True,cadot_broad_156,3057406857.0,4127,0.8824301250557731,2.1935676288140007,0.008318616498302735,0.39800670009421646,0.5186853219646587,0.6915493978693592,0.8203877489373996,0.6847617588763719,COMTRADE-FINAL-CA0082006H2[2007-03-08].gz,H2,6891,0.5126654616046261,2.706233090418627,1.1102230246251565e-16,True,25,True,True,True,True,True,True,True,True,True
